keyword,normalized_keyword,intent,page_type,target_url,volume,difficulty,priority,sources,gsc_clicks,gsc_impressions,gsc_ctr,gsc_position,gsc_page,gsc_country,status,notes
ai seo content generator,ai seo content generator,commercial,product,https://www.strique.io/product,260,LOW 12,medium,existing; keyword_planner,,,,,,,new,GKP volume 260; competition LOW 12
best ai tools for content creation,best ai tools for content creation,commercial,comparison,https://www.strique.io/vs,260,MEDIUM 49,medium,existing; keyword_planner,,,,,,,new,GKP volume 260; competition MEDIUM 49
content automation,content automation,commercial,product,https://www.strique.io/product,260,LOW 19,medium,existing; keyword_planner,,,,,,,new,GKP volume 260; competition LOW 19
seo for auto,seo for auto,commercial,product,https://www.strique.io/product,260,LOW 3,medium,existing; keyword_planner,,,,,,,new,GKP volume 260; competition LOW 3
ad maker ai,ad maker ai,commercial,product,https://www.strique.io/product,210,HIGH 67,medium,existing; keyword_planner,,,,,,,new,GKP volume 210; competition HIGH 67
ai advertising platform,ai advertising platform,commercial,product,https://www.strique.io/product,210,HIGH 82,medium,existing; keyword_planner,,,,,,,new,GKP volume 210; competition HIGH 82
ai content marketing tools,ai content marketing tools,commercial,product,https://www.strique.io/product,210,LOW 2,medium,existing,,,,,,,new,GKP volume 210; competition LOW 2
content generation ai,content generation ai,commercial,product,https://www.strique.io/product,210,LOW 1,medium,existing; keyword_planner,,,,,,,new,GKP volume 210; competition LOW 1
create ads with ai,create ads with ai,commercial,product,https://www.strique.io/product,210,MEDIUM 64,medium,existing; keyword_planner,,,,,,,new,GKP volume 210; competition MEDIUM 64
free ai tools for marketing,free ai tools for marketing,commercial,product,https://www.strique.io/product,210,MEDIUM 46,medium,existing; keyword_planner,,,,,,,new,GKP volume 210; competition MEDIUM 46
sales automation ai,sales automation ai,commercial,product,https://www.strique.io/product,210,LOW 14,medium,existing; keyword_planner,,,,,,,new,GKP volume 210; competition LOW 14
ad generator ai,ad generator ai,commercial,product,https://www.strique.io/product,170,MEDIUM 48,medium,existing; keyword_planner,,,,,,,new,GKP volume 170; competition MEDIUM 48
advertising integration,advertising integration,informational,blog,https://www.strique.io/blog,170,LOW 12,medium,existing,,,,,,,new,GKP volume 170; competition LOW 12
ai driven content creation,ai driven content creation,commercial,product,https://www.strique.io/product,170,LOW 27,medium,existing; keyword_planner,,,,,,,new,GKP volume 170; competition LOW 27
automated seo monitoring,automated seo monitoring,commercial,product,https://www.strique.io/product,170,LOW,medium,existing; keyword_planner,,,,,,,new,GKP volume 170; competition LOW
ecommerce automation software,ecommerce automation software,commercial,solutions,https://www.strique.io/solutions/ecommerce,170,LOW 3,medium,existing,,,,,,,new,GKP volume 170; competition LOW 3
free ai for content creation,free ai for content creation,commercial,product,https://www.strique.io/product,170,HIGH 69,medium,existing; keyword_planner,,,,,,,new,GKP volume 170; competition HIGH 69
ad creator ai,ad creator ai,commercial,product,https://www.strique.io/product,140,HIGH 75,medium,existing; keyword_planner,,,,,,,new,GKP volume 140; competition HIGH 75
ai email automation,ai email automation,commercial,product,https://www.strique.io/product,140,LOW 32,medium,existing; keyword_planner,,,,,,,new,GKP volume 140; competition LOW 32
ai video ad creator,ai video ad creator,commercial,product,https://www.strique.io/product,140,MEDIUM 46,medium,existing; keyword_planner,,,,,,,new,GKP volume 140; competition MEDIUM 46
automated content generation,automated content generation,commercial,product,https://www.strique.io/product,140,LOW 10,medium,existing; keyword_planner,,,,,,,new,GKP volume 140; competition LOW 10
automatic content creator,automatic content creator,commercial,product,https://www.strique.io/product,140,LOW 10,medium,existing; keyword_planner,,,,,,,new,GKP volume 140; competition LOW 10
best marketing ai tools,best marketing ai tools,commercial,comparison,https://www.strique.io/vs,140,MEDIUM 50,medium,existing; keyword_planner,,,,,,,new,GKP volume 140; competition MEDIUM 50
content generation tool,content generation tool,commercial,product,https://www.strique.io/product,140,MEDIUM 37,medium,existing; keyword_planner,,,,,,,new,GKP volume 140; competition MEDIUM 37
marketing automations shopify,marketing automations shopify,commercial,solutions,https://www.strique.io/solutions/ecommerce,140,LOW 6,medium,existing; keyword_planner,,,,,,,new,GKP volume 140; competition LOW 6
shopify marketing automations,shopify marketing automations,commercial,solutions,https://www.strique.io/solutions/ecommerce,140,LOW 6,medium,existing; keyword_planner,,,,,,,new,GKP volume 140; competition LOW 6
top ai tools for marketing,top ai tools for marketing,commercial,comparison,https://www.strique.io/vs,140,LOW 22,medium,existing; keyword_planner,,,,,,,new,GKP volume 140; competition LOW 22
ai in content creation,ai in content creation,commercial,product,https://www.strique.io/product,110,LOW 19,medium,existing; keyword_planner,,,,,,,new,GKP volume 110; competition LOW 19
ai digital marketing tools,ai digital marketing tools,commercial,product,https://www.strique.io/product,90,LOW 14,medium,existing,,,,,,,new,GKP volume 90; competition LOW 14
ai in content marketing,ai in content marketing,commercial,product,https://www.strique.io/product,90,LOW 8,medium,existing; keyword_planner,,,,,,,new,GKP volume 90; competition LOW 8
ai video ads generator,ai video ads generator,commercial,product,https://www.strique.io/product,90,MEDIUM 65,medium,existing; keyword_planner,,,,,,,new,GKP volume 90; competition MEDIUM 65
best ai tool for digital marketing,best ai tool for digital marketing,commercial,comparison,https://www.strique.io/vs,90,LOW 32,medium,existing; keyword_planner,,,,,,,new,GKP volume 90; competition LOW 32
best ai tools for digital marketing,best ai tools for digital marketing,commercial,comparison,https://www.strique.io/vs,90,LOW 32,medium,existing; keyword_planner,,,,,,,new,GKP volume 90; competition LOW 32
content automation tools,content automation tools,commercial,product,https://www.strique.io/product,90,LOW 13,medium,existing; keyword_planner,,,,,,,new,GKP volume 90; competition LOW 13
content creation ai tools,content creation ai tools,commercial,product,https://www.strique.io/product,90,MEDIUM 47,medium,existing; keyword_planner,,,,,,,new,GKP volume 90; competition MEDIUM 47
ai creating content,ai creating content,commercial,product,https://www.strique.io/product,70,LOW 20,medium,existing; keyword_planner,,,,,,,new,GKP volume 70; competition LOW 20
automated marketing reports,automated marketing reports,commercial,product,https://www.strique.io/product,70,LOW 24,medium,existing; keyword_planner,,,,,,,new,GKP volume 70; competition LOW 24
create content with ai,create content with ai,commercial,product,https://www.strique.io/product,70,MEDIUM 56,medium,existing; keyword_planner,,,,,,,new,GKP volume 70; competition MEDIUM 56
creating content with ai,creating content with ai,commercial,product,https://www.strique.io/product,70,MEDIUM 56,medium,existing; keyword_planner,,,,,,,new,GKP volume 70; competition MEDIUM 56
marketing ai platform,marketing ai platform,commercial,product,https://www.strique.io/product,70,LOW 33,medium,existing; keyword_planner,,,,,,,new,GKP volume 70; competition LOW 33
social media marketing ai,social media marketing ai,commercial,product,https://www.strique.io/product,70,HIGH 71,medium,existing; keyword_planner,,,,,,,new,GKP volume 70; competition HIGH 71
ai create ads,ai create ads,commercial,product,https://www.strique.io/product,50,MEDIUM 42,medium,existing; keyword_planner,,,,,,,new,GKP volume 50; competition MEDIUM 42
ai created ads,ai created ads,commercial,product,https://www.strique.io/product,50,MEDIUM 40,medium,keyword_planner,,,,,,,new,GKP volume 50; competition MEDIUM 40
ai creation software,ai creation software,commercial,product,https://www.strique.io/product,50,MEDIUM 40,medium,keyword_planner,,,,,,,new,GKP volume 50; competition MEDIUM 40
ai for content creators,ai for content creators,commercial,product,https://www.strique.io/product,50,MEDIUM 46,medium,keyword_planner,,,,,,,new,GKP volume 50; competition MEDIUM 46
ai for content generation,ai for content generation,commercial,product,https://www.strique.io/product,50,LOW 7,medium,keyword_planner,,,,,,,new,GKP volume 50; competition LOW 7
best ai content creation tools,best ai content creation tools,commercial,comparison,https://www.strique.io/vs,50,LOW 25,medium,keyword_planner,,,,,,,new,GKP volume 50; competition LOW 25
best ai content creator,best ai content creator,commercial,comparison,https://www.strique.io/vs,50,HIGH 81,medium,keyword_planner,,,,,,,new,GKP volume 50; competition HIGH 81
best free ai tools for digital marketing,best free ai tools for digital marketing,commercial,comparison,https://www.strique.io/vs,50,LOW 6,medium,keyword_planner,,,,,,,new,GKP volume 50; competition LOW 6
content ai tools,content ai tools,commercial,product,https://www.strique.io/product,50,MEDIUM 33,medium,keyword_planner,,,,,,,new,GKP volume 50; competition MEDIUM 33
content automation software,content automation software,commercial,product,https://www.strique.io/product,50,LOW 31,medium,keyword_planner,,,,,,,new,GKP volume 50; competition LOW 31
marketing ai software,marketing ai software,commercial,product,https://www.strique.io/product,50,LOW 17,medium,keyword_planner,,,,,,,new,GKP volume 50; competition LOW 17
marketing reporting automation,marketing reporting automation,commercial,product,https://www.strique.io/product,50,LOW 2,medium,keyword_planner,,,,,,,new,GKP volume 50; competition LOW 2
ad creation ai,ad creation ai,commercial,product,https://www.strique.io/product,40,HIGH 71,medium,keyword_planner,,,,,,,new,GKP volume 40; competition HIGH 71
ai and content creation,ai and content creation,commercial,product,https://www.strique.io/product,40,LOW 31,medium,keyword_planner,,,,,,,new,GKP volume 40; competition LOW 31
ai content creation free,ai content creation free,commercial,product,https://www.strique.io/product,40,MEDIUM 60,medium,keyword_planner,,,,,,,new,GKP volume 40; competition MEDIUM 60
ai in marketing analytics,ai in marketing analytics,commercial,product,https://www.strique.io/product,40,LOW 18,medium,keyword_planner,,,,,,,new,GKP volume 40; competition LOW 18
ai to create ads,ai to create ads,commercial,product,https://www.strique.io/product,40,MEDIUM 58,medium,keyword_planner,,,,,,,new,GKP volume 40; competition MEDIUM 58
automated seo tasks,automated seo tasks,commercial,product,https://www.strique.io/product,40,LOW,medium,keyword_planner,,,,,,,new,GKP volume 40; competition LOW
content creation with ai,content creation with ai,commercial,product,https://www.strique.io/product,40,LOW 22,medium,keyword_planner,,,,,,,new,GKP volume 40; competition LOW 22
free ai content creation tools,free ai content creation tools,commercial,product,https://www.strique.io/product,40,HIGH 69,medium,keyword_planner,,,,,,,new,GKP volume 40; competition HIGH 69
generate ads with ai,generate ads with ai,commercial,product,https://www.strique.io/product,40,MEDIUM 38,medium,keyword_planner,,,,,,,new,GKP volume 40; competition MEDIUM 38
using ai for content creation,using ai for content creation,commercial,product,https://www.strique.io/product,40,MEDIUM 59,medium,keyword_planner,,,,,,,new,GKP volume 40; competition MEDIUM 59
ai automated content creation,ai automated content creation,commercial,product,https://www.strique.io/product,30,MEDIUM 35,medium,keyword_planner,,,,,,,new,GKP volume 30; competition MEDIUM 35
