"Address","Occurrences","Meta Description 1","Meta Description 1 Length","Meta Description 1 Pixel Width","Indexability","Indexability Status"
"https://offlimits.co.in/collections/leather-shoes","1","Explore Leather Shoes for Men crafted for durability, comfort and timeless style for formal and casual occasions. Grab your perfect deal at Off Limits!","151","940","Indexable",""
"https://offlimits.co.in/collections/high-top-shoes-for-men","1","Shop High Top Shoes for Men with superior comfort, ankle support and modern street-style designs for everyday wear. Perfect for work, travel, and everyday wear at Off Limits.","174","1110","Indexable",""
"https://offlimits.co.in/collections/casual-shoes-men","1","Shop casual shoes for men with modern designs, superior comfort, and versatile styling. Perfect for work, travel, and everyday wear at Off Limits.","146","916","Indexable",""
"https://offlimits.co.in/collections/black-shoes-for-men?srsltid=AfmBOoqGT_qNT3Pt8Sb5bzRrxU_xuGBTzCCycxgJRfAaOm41ofyk63nI&utm_source=chatgpt.com","1","Discover black shoes for men featuring premium comfort, versatile styling and everyday durability. Shop the latest collection today. at Off Limits!","147","913","Non-Indexable","Canonicalised"
"https://offlimits.co.in/collections/basketball-boots","1","Shop Basketball Boots with superior grip, ankle support, and cushioning for maximum on-court performance. Elevate your game with Off Limits.","140","906","Indexable",""
"https://offlimits.co.in/collections/all","0","","0","0","Indexable",""
"https://offlimits.co.in/blogs/blogs","1","Read the Latest Blogs on Footwear Trends, Fitness Tips, Athleisure Styling and Sports Fashion Inspiration. Grab your perfect deal at Off Limits.","144","900","Indexable",""
"https://offlimits.co.in/collections/black-shoes-for-men","1","Discover black shoes for men featuring premium comfort, versatile styling and everyday durability. Shop the latest collection today. at Off Limits!","147","913","Indexable",""
"https://offlimits.co.in/collections/mens-bestsellers","1","Explore bestselling men's shoes, sneakers and Athleisure Apperal loved for their comfort, performance and everyday versatility. Find your perfect pair at Off Limits.","165","1028","Indexable",""
"https://offlimits.co.in/collections/mens-running-gym-shoes","1","Shop Men's Running & Gym Shoes designed for training, workouts & fitness performance. Lightweight, durable & built for everyday movement. Grab the deal on Off Limits today!","172","1114","Indexable",""
"https://offlimits.co.in/collections/men-shoes","1","Discover top-quality men's shoes for every occasion at Offlimits. Shop now for comfort, durability, and style in every step.","124","762","Indexable",""
"https://offlimits.co.in/collections/mens-shoes","1","Explore Men's Footwear Including Sports Shoes, Sneakers, Running Shoes, & casual styles designed for comfort, performance, & everyday wear. Get yours today at Off Limits.","170","1099","Indexable",""
