keyword,priority,intent,page_type,target_url,gsc_status,avg_position,rank_bucket,clicks,impressions,ctr,ranking_page,country,volume,difficulty,source,notes
ladies white shoes,high,informational,blog,https://inc5shop.com/blog,not_checked_blocked,,not_ranked_in_gsc_sample,,,,,,40500,HIGH 100,Google Ads Keyword Planner via Composio,GKP volume 40500; competition HIGH 100
heel sandals for women,high,informational,blog,https://inc5shop.com/blog,ranked,6.92,positions_4_10,515,157176,0,https://inc5shop.com/collections/womens-heels,India,33100,HIGH 98,Google Search Console via Composio + Google Ads Keyword Planner via Composio,GKP volume 33100; competition HIGH 98; GSC 515 clicks and 157176 impressions; observed page https://inc5shop.com/collections/womens-heels
black heels for women,high,informational,blog,https://inc5shop.com/blog,ranked,7.77,positions_4_10,328,99126,0,https://inc5shop.com/collections/womens-heels,India,33100,HIGH 100,Google Search Console via Composio + Google Ads Keyword Planner via Composio,GKP volume 33100; competition HIGH 100; GSC 328 clicks and 99126 impressions; observed page https://inc5shop.com/collections/womens-heels
block heels for women,high,informational,blog,https://inc5shop.com/blog,ranked,10.73,positions_11_20,190,92747,0,https://inc5shop.com/collections/womens-heels,India,33100,HIGH 99,Google Search Console via Composio + Google Ads Keyword Planner via Composio,GKP volume 33100; competition HIGH 99; GSC 190 clicks and 92747 impressions; observed page https://inc5shop.com/collections/womens-heels
ladies shoes,high,informational,blog,https://inc5shop.com/blog,ranked,8.24,positions_4_10,121,22682,0.01,https://inc5shop.com/collections/women-footwear,India,33100,HIGH 97,Google Search Console via Composio + Google Ads Keyword Planner via Composio,GKP volume 33100; competition HIGH 97; GSC 121 clicks and 22682 impressions; observed page https://inc5shop.com/collections/women-footwear
black shoes for women,high,informational,blog,https://inc5shop.com/blog,not_checked_blocked,,not_ranked_in_gsc_sample,,,,,,33100,HIGH 100,Google Ads Keyword Planner via Composio,GKP volume 33100; competition HIGH 100
black heel shoes,high,informational,blog,https://inc5shop.com/blog,not_checked_blocked,,not_ranked_in_gsc_sample,,,,,,27100,HIGH 100,Google Ads Keyword Planner via Composio,GKP volume 27100; competition HIGH 100
high heels for women,high,informational,blog,https://inc5shop.com/blog,ranked,6.87,positions_4_10,732,192415,0,https://inc5shop.com/collections/womens-heels,India,22200,HIGH 98,Google Search Console via Composio + Google Ads Keyword Planner via Composio,GKP volume 22200; competition HIGH 98; GSC 732 clicks and 192415 impressions; observed page https://inc5shop.com/collections/womens-heels
white heels for women,high,informational,blog,https://inc5shop.com/blog,not_checked_blocked,,not_ranked_in_gsc_sample,,,,,,22200,HIGH 100,Google Ads Keyword Planner via Composio,GKP volume 22200; competition HIGH 100
platform heels for women,high,informational,blog,https://inc5shop.com/blog,ranked,4.88,positions_4_10,1565,211804,0.01,https://inc5shop.com/collections/platform-heels,India,18100,HIGH 99,Google Search Console via Composio + Google Ads Keyword Planner via Composio,GKP volume 18100; competition HIGH 99; GSC 1565 clicks and 211804 impressions; observed page https://inc5shop.com/collections/platform-heels
block heels,high,informational,blog,https://inc5shop.com/blog,not_checked_blocked,,not_ranked_in_gsc_sample,,,,,,18100,HIGH 95,Google Ads Keyword Planner via Composio,GKP volume 18100; competition HIGH 95
block high heels,high,informational,blog,https://inc5shop.com/blog,not_checked_blocked,,not_ranked_in_gsc_sample,,,,,,18100,HIGH 95,Google Ads Keyword Planner via Composio,GKP volume 18100; competition HIGH 95
pencil heels for women,high,informational,blog,https://inc5shop.com/blog,not_checked_blocked,,not_ranked_in_gsc_sample,,,,,,18100,HIGH 98,Google Ads Keyword Planner via Composio,GKP volume 18100; competition HIGH 98
transparent heels,high,informational,blog,https://inc5shop.com/blog,ranked,5.1,positions_4_10,824,160407,0,https://inc5shop.com/collections/transparent-heel-for-women,India,14800,HIGH 100,Google Search Console via Composio + Google Ads Keyword Planner via Composio,GKP volume 14800; competition HIGH 100; GSC 824 clicks and 160407 impressions; observed page https://inc5shop.com/collections/transparent-heel-for-women
flat slippers for women,high,informational,blog,https://inc5shop.com/blog,ranked,7.93,positions_4_10,357,98982,0,https://inc5shop.com/collections/womens-flats,India,14800,HIGH 99,Google Search Console via Composio + Google Ads Keyword Planner via Composio,GKP volume 14800; competition HIGH 99; GSC 357 clicks and 98982 impressions; observed page https://inc5shop.com/collections/womens-flats
heel shoes for women,high,informational,blog,https://inc5shop.com/blog,ranked,7.43,positions_4_10,129,68511,0,https://inc5shop.com/collections/womens-heels,India,14800,HIGH 98,Google Search Console via Composio + Google Ads Keyword Planner via Composio,GKP volume 14800; competition HIGH 98; GSC 129 clicks and 68511 impressions; observed page https://inc5shop.com/collections/womens-heels
party wear sandals for women,high,informational,blog,https://inc5shop.com/blog,ranked,5.04,positions_4_10,363,53172,0.01,https://inc5shop.com/collections/womens-sandals,India,14800,HIGH 99,Google Search Console via Composio + Google Ads Keyword Planner via Composio,GKP volume 14800; competition HIGH 99; GSC 363 clicks and 53172 impressions; observed page https://inc5shop.com/collections/womens-sandals
branded shoes for women,high,informational,blog,https://inc5shop.com/blog,not_checked_blocked,,not_ranked_in_gsc_sample,,,,,,14800,HIGH 100,Google Ads Keyword Planner via Composio,GKP volume 14800; competition HIGH 100
heels transparent,high,informational,blog,https://inc5shop.com/blog,not_checked_blocked,,not_ranked_in_gsc_sample,,,,,,14800,HIGH 100,Google Ads Keyword Planner via Composio,GKP volume 14800; competition HIGH 100
ladies formal shoes,high,informational,blog,https://inc5shop.com/blog,not_checked_blocked,,not_ranked_in_gsc_sample,,,,,,14800,HIGH 100,Google Ads Keyword Planner via Composio,GKP volume 14800; competition HIGH 100
pencil heels,high,informational,blog,https://inc5shop.com/blog,not_checked_blocked,,not_ranked_in_gsc_sample,,,,,,14800,HIGH 95,Google Ads Keyword Planner via Composio,GKP volume 14800; competition HIGH 95
transparent heels for women,high,informational,blog,https://inc5shop.com/blog,ranked,4.69,positions_4_10,770,140344,0.01,https://inc5shop.com/collections/transparent-heel-for-women,India,12100,HIGH 100,Google Search Console via Composio + Google Ads Keyword Planner via Composio,GKP volume 12100; competition HIGH 100; GSC 770 clicks and 140344 impressions; observed page https://inc5shop.com/collections/transparent-heel-for-women
belly shoes,high,informational,blog,https://inc5shop.com/blog,not_checked_blocked,,not_ranked_in_gsc_sample,,,,,,12100,HIGH 96,Google Ads Keyword Planner via Composio,GKP volume 12100; competition HIGH 96
brand shoes,high,informational,blog,https://inc5shop.com/blog,not_checked_blocked,,not_ranked_in_gsc_sample,,,,,,12100,HIGH 97,Google Ads Keyword Planner via Composio,GKP volume 12100; competition HIGH 97
bridal sandals,high,informational,blog,https://inc5shop.com/blog,not_checked_blocked,,not_ranked_in_gsc_sample,,,,,,12100,HIGH 98,Google Ads Keyword Planner via Composio,GKP volume 12100; competition HIGH 98
heel sandals,high,informational,blog,https://inc5shop.com/blog,not_checked_blocked,,not_ranked_in_gsc_sample,,,,,,12100,HIGH 97,Google Ads Keyword Planner via Composio,GKP volume 12100; competition HIGH 97
heel slippers for women,high,informational,blog,https://inc5shop.com/blog,not_checked_blocked,,not_ranked_in_gsc_sample,,,,,,12100,HIGH 99,Google Ads Keyword Planner via Composio,GKP volume 12100; competition HIGH 99
ladies casual shoes,high,informational,blog,https://inc5shop.com/blog,not_checked_blocked,,not_ranked_in_gsc_sample,,,,,,12100,HIGH 100,Google Ads Keyword Planner via Composio,GKP volume 12100; competition HIGH 100
mochi sandals for women,high,informational,blog,https://inc5shop.com/blog,not_checked_blocked,,not_ranked_in_gsc_sample,,,,,,12100,HIGH 100,Google Ads Keyword Planner via Composio,GKP volume 12100; competition HIGH 100
shoes bride,high,informational,blog,https://inc5shop.com/blog,not_checked_blocked,,not_ranked_in_gsc_sample,,,,,,12100,HIGH 100,Google Ads Keyword Planner via Composio,GKP volume 12100; competition HIGH 100
women casual shoes,high,informational,blog,https://inc5shop.com/blog,not_checked_blocked,,not_ranked_in_gsc_sample,,,,,,12100,HIGH 100,Google Ads Keyword Planner via Composio,GKP volume 12100; competition HIGH 100
inc 5 shoes,high,informational,blog,https://inc5shop.com/blog,ranked,1.53,top_3,6151,287893,0.09,https://inc5shop.com/,India,9900,HIGH 99,Google Search Console via Composio + Google Ads Keyword Planner via Composio,GKP volume 9900; competition HIGH 99; GSC 6151 clicks and 287893 impressions; observed page https://inc5shop.com/
inc 5 footwear,high,informational,blog,https://inc5shop.com/blog,ranked,1.78,top_3,1771,104787,0.04,https://inc5shop.com/,India,9900,HIGH 99,Google Search Console via Composio + Google Ads Keyword Planner via Composio,GKP volume 9900; competition HIGH 99; GSC 1771 clicks and 104787 impressions; observed page https://inc5shop.com/
inc 5 sandals,high,informational,blog,https://inc5shop.com/blog,ranked,1.57,top_3,629,37462,0.03,https://inc5shop.com/collections/womens-sandals,India,9900,HIGH 99,Google Search Console via Composio + Google Ads Keyword Planner via Composio,GKP volume 9900; competition HIGH 99; GSC 629 clicks and 37462 impressions; observed page https://inc5shop.com/collections/womens-sandals
best formal shoes for men,high,commercial,comparison,https://inc5shop.com/vs,not_checked_blocked,,not_ranked_in_gsc_sample,,,,,,9900,HIGH 100,Google Ads Keyword Planner via Composio,GKP volume 9900; competition HIGH 100
golden heels,high,informational,blog,https://inc5shop.com/blog,not_checked_blocked,,not_ranked_in_gsc_sample,,,,,,9900,HIGH 100,Google Ads Keyword Planner via Composio,GKP volume 9900; competition HIGH 100
mochi shoes for men,high,informational,blog,https://inc5shop.com/blog,not_checked_blocked,,not_ranked_in_gsc_sample,,,,,,9900,HIGH 100,Google Ads Keyword Planner via Composio,GKP volume 9900; competition HIGH 100
mochi women footwear,high,informational,blog,https://inc5shop.com/blog,not_checked_blocked,,not_ranked_in_gsc_sample,,,,,,9900,HIGH 99,Google Ads Keyword Planner via Composio,GKP volume 9900; competition HIGH 99
shoes for men near me,high,informational,blog,https://inc5shop.com/blog,not_checked_blocked,,not_ranked_in_gsc_sample,,,,,,9900,LOW 33,Google Ads Keyword Planner via Composio,GKP volume 9900; competition LOW 33
wedding shoes for women,high,informational,blog,https://inc5shop.com/blog,not_checked_blocked,,not_ranked_in_gsc_sample,,,,,,9900,HIGH 100,Google Ads Keyword Planner via Composio,GKP volume 9900; competition HIGH 100
women belly shoes,high,informational,blog,https://inc5shop.com/blog,not_checked_blocked,,not_ranked_in_gsc_sample,,,,,,9900,HIGH 99,Google Ads Keyword Planner via Composio,GKP volume 9900; competition HIGH 99
formal footwear for women,high,informational,blog,https://inc5shop.com/blog,ranked,9.62,positions_4_10,177,53308,0,https://inc5shop.com/collections/women-footwear,India,8100,HIGH 100,Google Search Console via Composio + Google Ads Keyword Planner via Composio,GKP volume 8100; competition HIGH 100; GSC 177 clicks and 53308 impressions; observed page https://inc5shop.com/collections/women-footwear
ladies footwear,high,informational,blog,https://inc5shop.com/blog,ranked,8.86,positions_4_10,353,49269,0.01,https://inc5shop.com/collections/women-footwear,India,8100,HIGH 94,Google Search Console via Composio + Google Ads Keyword Planner via Composio,GKP volume 8100; competition HIGH 94; GSC 353 clicks and 49269 impressions; observed page https://inc5shop.com/collections/women-footwear
black formal shoes for women,high,informational,blog,https://inc5shop.com/blog,not_checked_blocked,,not_ranked_in_gsc_sample,,,,,,8100,HIGH 100,Google Ads Keyword Planner via Composio,GKP volume 8100; competition HIGH 100
flat heels for women,high,informational,blog,https://inc5shop.com/blog,not_checked_blocked,,not_ranked_in_gsc_sample,,,,,,8100,HIGH 98,Google Ads Keyword Planner via Composio,GKP volume 8100; competition HIGH 98
golden heels for women,high,informational,blog,https://inc5shop.com/blog,not_checked_blocked,,not_ranked_in_gsc_sample,,,,,,8100,HIGH 100,Google Ads Keyword Planner via Composio,GKP volume 8100; competition HIGH 100
high heel shoes for ladies,high,informational,blog,https://inc5shop.com/blog,not_checked_blocked,,not_ranked_in_gsc_sample,,,,,,8100,HIGH 95,Google Ads Keyword Planner via Composio,GKP volume 8100; competition HIGH 95
high heel shoes for women,high,informational,blog,https://inc5shop.com/blog,not_checked_blocked,,not_ranked_in_gsc_sample,,,,,,8100,HIGH 95,Google Ads Keyword Planner via Composio,GKP volume 8100; competition HIGH 95
metro sandals for women,high,informational,blog,https://inc5shop.com/blog,not_checked_blocked,,not_ranked_in_gsc_sample,,,,,,8100,HIGH 100,Google Ads Keyword Planner via Composio,GKP volume 8100; competition HIGH 100
metro shoes for women,high,informational,blog,https://inc5shop.com/blog,not_checked_blocked,,not_ranked_in_gsc_sample,,,,,,8100,HIGH 99,Google Ads Keyword Planner via Composio,GKP volume 8100; competition HIGH 99
pointed heels,high,informational,blog,https://inc5shop.com/blog,not_checked_blocked,,not_ranked_in_gsc_sample,,,,,,8100,HIGH 99,Google Ads Keyword Planner via Composio,GKP volume 8100; competition HIGH 99
sandals shop near me,high,informational,blog,https://inc5shop.com/blog,not_checked_blocked,,not_ranked_in_gsc_sample,,,,,,8100,LOW 26,Google Ads Keyword Planner via Composio,GKP volume 8100; competition LOW 26
shoes for women under 500,high,informational,blog,https://inc5shop.com/blog,not_checked_blocked,,not_ranked_in_gsc_sample,,,,,,8100,HIGH 98,Google Ads Keyword Planner via Composio,GKP volume 8100; competition HIGH 98
inch 5 heels,high,informational,blog,https://inc5shop.com/blog,ranked,1.04,top_3,1136,48819,0.04,https://inc5shop.com/collections/womens-heels,India,6600,HIGH 96,Google Search Console via Composio + Google Ads Keyword Planner via Composio,GKP volume 6600; competition HIGH 96; GSC 1136 clicks and 48819 impressions; observed page https://inc5shop.com/collections/womens-heels
5 inch heels,high,informational,blog,https://inc5shop.com/blog,ranked,5.08,positions_4_10,224,31876,0.01,https://inc5shop.com/collections/womens-heels,India,6600,HIGH 96,Google Search Console via Composio + Google Ads Keyword Planner via Composio,GKP volume 6600; competition HIGH 96; GSC 224 clicks and 31876 impressions; observed page https://inc5shop.com/collections/womens-heels
formal heels for women,high,informational,blog,https://inc5shop.com/blog,ranked,6.66,positions_4_10,119,31123,0,https://inc5shop.com/collections/womens-heels,India,6600,HIGH 99,Google Search Console via Composio + Google Ads Keyword Planner via Composio,GKP volume 6600; competition HIGH 99; GSC 119 clicks and 31123 impressions; observed page https://inc5shop.com/collections/womens-heels
cai footwear,high,informational,blog,https://inc5shop.com/blog,not_checked_blocked,,not_ranked_in_gsc_sample,,,,,,6600,HIGH 100,Google Ads Keyword Planner via Composio,GKP volume 6600; competition HIGH 100
cut shoes for women,high,informational,blog,https://inc5shop.com/blog,not_checked_blocked,,not_ranked_in_gsc_sample,,,,,,6600,HIGH 97,Google Ads Keyword Planner via Composio,GKP volume 6600; competition HIGH 97
fashionable shoes,high,informational,blog,https://inc5shop.com/blog,not_checked_blocked,,not_ranked_in_gsc_sample,,,,,,6600,HIGH 97,Google Ads Keyword Planner via Composio,GKP volume 6600; competition HIGH 97
flat shoes for ladies,high,informational,blog,https://inc5shop.com/blog,not_checked_blocked,,not_ranked_in_gsc_sample,,,,,,6600,HIGH 99,Google Ads Keyword Planner via Composio,GKP volume 6600; competition HIGH 99
inc 5 heels,high,informational,blog,https://inc5shop.com/blog,ranked,1.14,top_3,3979,206762,0.05,https://inc5shop.com/collections/womens-heels,India,5400,HIGH 100,Google Search Console via Composio + Google Ads Keyword Planner via Composio,GKP volume 5400; competition HIGH 100; GSC 3979 clicks and 206762 impressions; observed page https://inc5shop.com/collections/womens-heels
comfortable heels for women,high,informational,blog,https://inc5shop.com/blog,ranked,6.63,positions_4_10,305,48545,0.01,https://inc5shop.com/collections/womens-heels,India,5400,HIGH 100,Google Search Console via Composio + Google Ads Keyword Planner via Composio,GKP volume 5400; competition HIGH 100; GSC 305 clicks and 48545 impressions; observed page https://inc5shop.com/collections/womens-heels
best ladies shoes,high,commercial,comparison,https://inc5shop.com/vs,not_checked_blocked,,not_ranked_in_gsc_sample,,,,,,5400,HIGH 100,Google Ads Keyword Planner via Composio,GKP volume 5400; competition HIGH 100
best shoes for women,high,commercial,comparison,https://inc5shop.com/vs,not_checked_blocked,,not_ranked_in_gsc_sample,,,,,,5400,HIGH 100,Google Ads Keyword Planner via Composio,GKP volume 5400; competition HIGH 100
catwalk heels,high,informational,blog,https://inc5shop.com/blog,not_checked_blocked,,not_ranked_in_gsc_sample,,,,,,5400,HIGH 98,Google Ads Keyword Planner via Composio,GKP volume 5400; competition HIGH 98
catwalk sandals,high,informational,blog,https://inc5shop.com/blog,not_checked_blocked,,not_ranked_in_gsc_sample,,,,,,5400,HIGH 98,Google Ads Keyword Planner via Composio,GKP volume 5400; competition HIGH 98
catwalk shoes,high,informational,blog,https://inc5shop.com/blog,not_checked_blocked,,not_ranked_in_gsc_sample,,,,,,5400,HIGH 98,Google Ads Keyword Planner via Composio,GKP volume 5400; competition HIGH 98
comfort shoes for women,high,informational,blog,https://inc5shop.com/blog,not_checked_blocked,,not_ranked_in_gsc_sample,,,,,,5400,HIGH 100,Google Ads Keyword Planner via Composio,GKP volume 5400; competition HIGH 100
good shoes for women,high,informational,blog,https://inc5shop.com/blog,not_checked_blocked,,not_ranked_in_gsc_sample,,,,,,5400,HIGH 100,Google Ads Keyword Planner via Composio,GKP volume 5400; competition HIGH 100
ladies comfort shoes,high,informational,blog,https://inc5shop.com/blog,not_checked_blocked,,not_ranked_in_gsc_sample,,,,,,5400,HIGH 100,Google Ads Keyword Planner via Composio,GKP volume 5400; competition HIGH 100
ladies office shoes,high,informational,blog,https://inc5shop.com/blog,not_checked_blocked,,not_ranked_in_gsc_sample,,,,,,5400,HIGH 100,Google Ads Keyword Planner via Composio,GKP volume 5400; competition HIGH 100
mochi shoes for women,high,informational,blog,https://inc5shop.com/blog,not_checked_blocked,,not_ranked_in_gsc_sample,,,,,,5400,HIGH 97,Google Ads Keyword Planner via Composio,GKP volume 5400; competition HIGH 97
office shoes women,high,informational,blog,https://inc5shop.com/blog,not_checked_blocked,,not_ranked_in_gsc_sample,,,,,,5400,HIGH 100,Google Ads Keyword Planner via Composio,GKP volume 5400; competition HIGH 100
party wear shoes,high,informational,blog,https://inc5shop.com/blog,not_checked_blocked,,not_ranked_in_gsc_sample,,,,,,5400,HIGH 98,Google Ads Keyword Planner via Composio,GKP volume 5400; competition HIGH 98
rainy shoes for women,high,informational,blog,https://inc5shop.com/blog,not_checked_blocked,,not_ranked_in_gsc_sample,,,,,,5400,HIGH 98,Google Ads Keyword Planner via Composio,GKP volume 5400; competition HIGH 98
shoe sale,high,informational,blog,https://inc5shop.com/blog,not_checked_blocked,,not_ranked_in_gsc_sample,,,,,,5400,HIGH 100,Google Ads Keyword Planner via Composio,GKP volume 5400; competition HIGH 100
studded shoes,high,informational,blog,https://inc5shop.com/blog,not_checked_blocked,,not_ranked_in_gsc_sample,,,,,,5400,HIGH 94,Google Ads Keyword Planner via Composio,GKP volume 5400; competition HIGH 94
stylish shoes,high,informational,blog,https://inc5shop.com/blog,not_checked_blocked,,not_ranked_in_gsc_sample,,,,,,5400,HIGH 95,Google Ads Keyword Planner via Composio,GKP volume 5400; competition HIGH 95
casual flats for women,high,informational,blog,https://inc5shop.com/blog,ranked,6.45,positions_4_10,151,46887,0,https://inc5shop.com/collections/womens-flats,India,4400,HIGH 98,Google Search Console via Composio + Google Ads Keyword Planner via Composio,GKP volume 4400; competition HIGH 98; GSC 151 clicks and 46887 impressions; observed page https://inc5shop.com/collections/womens-flats
branded sandals for women,high,informational,blog,https://inc5shop.com/blog,ranked,5.8,positions_4_10,254,23100,0.01,https://inc5shop.com/collections/womens-sandals,India,4400,HIGH 100,Google Search Console via Composio + Google Ads Keyword Planner via Composio,GKP volume 4400; competition HIGH 100; GSC 254 clicks and 23100 impressions; observed page https://inc5shop.com/collections/womens-sandals
branded heels,high,informational,blog,https://inc5shop.com/blog,not_checked_blocked,,not_ranked_in_gsc_sample,,,,,,4400,HIGH 94,Google Ads Keyword Planner via Composio,GKP volume 4400; competition HIGH 94
casual footwear for women,high,informational,blog,https://inc5shop.com/blog,not_checked_blocked,,not_ranked_in_gsc_sample,,,,,,4400,HIGH 98,Google Ads Keyword Planner via Composio,GKP volume 4400; competition HIGH 98
comfort shoes,high,informational,blog,https://inc5shop.com/blog,not_checked_blocked,,not_ranked_in_gsc_sample,,,,,,4400,HIGH 99,Google Ads Keyword Planner via Composio,GKP volume 4400; competition HIGH 99
expensive heels,high,informational,blog,https://inc5shop.com/blog,not_checked_blocked,,not_ranked_in_gsc_sample,,,,,,4400,HIGH 87,Google Ads Keyword Planner via Composio,GKP volume 4400; competition HIGH 87
heels 3 inch,high,informational,blog,https://inc5shop.com/blog,not_checked_blocked,,not_ranked_in_gsc_sample,,,,,,4400,HIGH 92,Google Ads Keyword Planner via Composio,GKP volume 4400; competition HIGH 92
heels beige,high,informational,blog,https://inc5shop.com/blog,not_checked_blocked,,not_ranked_in_gsc_sample,,,,,,4400,HIGH 100,Google Ads Keyword Planner via Composio,GKP volume 4400; competition HIGH 100
heels wedding,high,informational,blog,https://inc5shop.com/blog,not_checked_blocked,,not_ranked_in_gsc_sample,,,,,,4400,HIGH 100,Google Ads Keyword Planner via Composio,GKP volume 4400; competition HIGH 100
high heel sandals for women,high,informational,blog,https://inc5shop.com/blog,not_checked_blocked,,not_ranked_in_gsc_sample,,,,,,4400,HIGH 96,Google Ads Keyword Planner via Composio,GKP volume 4400; competition HIGH 96
jute shoes,high,informational,blog,https://inc5shop.com/blog,not_checked_blocked,,not_ranked_in_gsc_sample,,,,,,4400,HIGH 98,Google Ads Keyword Planner via Composio,GKP volume 4400; competition HIGH 98
leather shoes for women,high,informational,blog,https://inc5shop.com/blog,not_checked_blocked,,not_ranked_in_gsc_sample,,,,,,4400,HIGH 100,Google Ads Keyword Planner via Composio,GKP volume 4400; competition HIGH 100
shoes flat,high,informational,blog,https://inc5shop.com/blog,not_checked_blocked,,not_ranked_in_gsc_sample,,,,,,4400,HIGH 96,Google Ads Keyword Planner via Composio,GKP volume 4400; competition HIGH 96
slippers with heels,high,informational,blog,https://inc5shop.com/blog,not_checked_blocked,,not_ranked_in_gsc_sample,,,,,,4400,HIGH 99,Google Ads Keyword Planner via Composio,GKP volume 4400; competition HIGH 99
stylish shoes for women,high,informational,blog,https://inc5shop.com/blog,not_checked_blocked,,not_ranked_in_gsc_sample,,,,,,4400,HIGH 97,Google Ads Keyword Planner via Composio,GKP volume 4400; competition HIGH 97
stylish women's shoes,high,informational,blog,https://inc5shop.com/blog,not_checked_blocked,,not_ranked_in_gsc_sample,,,,,,4400,HIGH 97,Google Ads Keyword Planner via Composio,GKP volume 4400; competition HIGH 97
ethnic footwear for women,high,informational,blog,https://inc5shop.com/blog,ranked,5.54,positions_4_10,442,32702,0.01,https://inc5shop.com/collections/ethnic-footwear,India,3600,HIGH 100,Google Search Console via Composio + Google Ads Keyword Planner via Composio,GKP volume 3600; competition HIGH 100; GSC 442 clicks and 32702 impressions; observed page https://inc5shop.com/collections/ethnic-footwear
black block heel shoes,high,informational,blog,https://inc5shop.com/blog,not_checked_blocked,,not_ranked_in_gsc_sample,,,,,,3600,HIGH 100,Google Ads Keyword Planner via Composio,GKP volume 3600; competition HIGH 100
black block heels for women,high,informational,blog,https://inc5shop.com/blog,not_checked_blocked,,not_ranked_in_gsc_sample,,,,,,3600,HIGH 100,Google Ads Keyword Planner via Composio,GKP volume 3600; competition HIGH 100
block heels black,high,informational,blog,https://inc5shop.com/blog,not_checked_blocked,,not_ranked_in_gsc_sample,,,,,,3600,HIGH 100,Google Ads Keyword Planner via Composio,GKP volume 3600; competition HIGH 100
brown shoes for women,high,informational,blog,https://inc5shop.com/blog,not_checked_blocked,,not_ranked_in_gsc_sample,,,,,,3600,HIGH 100,Google Ads Keyword Planner via Composio,GKP volume 3600; competition HIGH 100
catwalk footwear,high,informational,blog,https://inc5shop.com/blog,not_checked_blocked,,not_ranked_in_gsc_sample,,,,,,3600,HIGH 97,Google Ads Keyword Planner via Composio,GKP volume 3600; competition HIGH 97
low heel sandals for women,high,informational,blog,https://inc5shop.com/blog,not_checked_blocked,,not_ranked_in_gsc_sample,,,,,,3600,HIGH 95,Google Ads Keyword Planner via Composio,GKP volume 3600; competition HIGH 95
metro heels,high,informational,blog,https://inc5shop.com/blog,not_checked_blocked,,not_ranked_in_gsc_sample,,,,,,3600,HIGH 99,Google Ads Keyword Planner via Composio,GKP volume 3600; competition HIGH 99
metro shoes for men,high,informational,blog,https://inc5shop.com/blog,not_checked_blocked,,not_ranked_in_gsc_sample,,,,,,3600,HIGH 99,Google Ads Keyword Planner via Composio,GKP volume 3600; competition HIGH 99
