keyword,normalized_keyword,intent,page_type,target_url,volume,difficulty,priority,sources,gsc_clicks,gsc_impressions,gsc_ctr,gsc_position,gsc_page,gsc_country,status,notes
heel sandals for women,heel sandals for women,informational,blog,https://inc5shop.com/blog,33100,HIGH 98,high,gsc; keyword_planner,515,157176,0,6.92,https://inc5shop.com/collections/womens-heels,India,new,GKP volume 33100; competition HIGH 98; GSC 515 clicks and 157176 impressions; observed page https://inc5shop.com/collections/womens-heels
black heels for women,black heels for women,informational,blog,https://inc5shop.com/blog,33100,HIGH 100,high,gsc; keyword_planner,328,99126,0,7.77,https://inc5shop.com/collections/womens-heels,India,new,GKP volume 33100; competition HIGH 100; GSC 328 clicks and 99126 impressions; observed page https://inc5shop.com/collections/womens-heels
block heels for women,block heels for women,informational,blog,https://inc5shop.com/blog,33100,HIGH 99,high,gsc; keyword_planner,190,92747,0,10.73,https://inc5shop.com/collections/womens-heels,India,new,GKP volume 33100; competition HIGH 99; GSC 190 clicks and 92747 impressions; observed page https://inc5shop.com/collections/womens-heels
ladies shoes,ladies shoes,informational,blog,https://inc5shop.com/blog,33100,HIGH 97,high,gsc; keyword_planner,121,22682,0.01,8.24,https://inc5shop.com/collections/women-footwear,India,new,GKP volume 33100; competition HIGH 97; GSC 121 clicks and 22682 impressions; observed page https://inc5shop.com/collections/women-footwear
black shoes for women,black shoes for women,informational,blog,https://inc5shop.com/blog,33100,HIGH 100,high,keyword_planner,,,,,,,new,GKP volume 33100; competition HIGH 100
black heel shoes,black heel shoes,informational,blog,https://inc5shop.com/blog,27100,HIGH 100,high,keyword_planner,,,,,,,new,GKP volume 27100; competition HIGH 100
high heels for women,high heels for women,informational,blog,https://inc5shop.com/blog,22200,HIGH 98,high,gsc; keyword_planner,732,192415,0,6.87,https://inc5shop.com/collections/womens-heels,India,new,GKP volume 22200; competition HIGH 98; GSC 732 clicks and 192415 impressions; observed page https://inc5shop.com/collections/womens-heels
white heels for women,white heels for women,informational,blog,https://inc5shop.com/blog,22200,HIGH 100,high,keyword_planner,,,,,,,new,GKP volume 22200; competition HIGH 100
platform heels for women,platform heels for women,informational,blog,https://inc5shop.com/blog,18100,HIGH 99,high,gsc; keyword_planner,1565,211804,0.01,4.88,https://inc5shop.com/collections/platform-heels,India,new,GKP volume 18100; competition HIGH 99; GSC 1565 clicks and 211804 impressions; observed page https://inc5shop.com/collections/platform-heels
block heels,block heels,informational,blog,https://inc5shop.com/blog,18100,HIGH 95,high,keyword_planner,,,,,,,new,GKP volume 18100; competition HIGH 95
block high heels,block high heels,informational,blog,https://inc5shop.com/blog,18100,HIGH 95,high,keyword_planner,,,,,,,new,GKP volume 18100; competition HIGH 95
pencil heels for women,pencil heels for women,informational,blog,https://inc5shop.com/blog,18100,HIGH 98,high,keyword_planner,,,,,,,new,GKP volume 18100; competition HIGH 98
transparent heels,transparent heels,informational,blog,https://inc5shop.com/blog,14800,HIGH 100,high,gsc; keyword_planner,824,160407,0,5.1,https://inc5shop.com/collections/transparent-heel-for-women,India,new,GKP volume 14800; competition HIGH 100; GSC 824 clicks and 160407 impressions; observed page https://inc5shop.com/collections/transparent-heel-for-women
flat slippers for women,flat slippers for women,informational,blog,https://inc5shop.com/blog,14800,HIGH 99,high,gsc; keyword_planner,357,98982,0,7.93,https://inc5shop.com/collections/womens-flats,India,new,GKP volume 14800; competition HIGH 99; GSC 357 clicks and 98982 impressions; observed page https://inc5shop.com/collections/womens-flats
heel shoes for women,heel shoes for women,informational,blog,https://inc5shop.com/blog,14800,HIGH 98,high,gsc; keyword_planner,129,68511,0,7.43,https://inc5shop.com/collections/womens-heels,India,new,GKP volume 14800; competition HIGH 98; GSC 129 clicks and 68511 impressions; observed page https://inc5shop.com/collections/womens-heels
party wear sandals for women,party wear sandals for women,informational,blog,https://inc5shop.com/blog,14800,HIGH 99,high,gsc; keyword_planner,363,53172,0.01,5.04,https://inc5shop.com/collections/womens-sandals,India,new,GKP volume 14800; competition HIGH 99; GSC 363 clicks and 53172 impressions; observed page https://inc5shop.com/collections/womens-sandals
branded shoes for women,branded shoes for women,informational,blog,https://inc5shop.com/blog,14800,HIGH 100,high,keyword_planner,,,,,,,new,GKP volume 14800; competition HIGH 100
heels transparent,heels transparent,informational,blog,https://inc5shop.com/blog,14800,HIGH 100,high,keyword_planner,,,,,,,new,GKP volume 14800; competition HIGH 100
ladies formal shoes,ladies formal shoes,informational,blog,https://inc5shop.com/blog,14800,HIGH 100,high,keyword_planner,,,,,,,new,GKP volume 14800; competition HIGH 100
pencil heels,pencil heels,informational,blog,https://inc5shop.com/blog,14800,HIGH 95,high,keyword_planner,,,,,,,new,GKP volume 14800; competition HIGH 95
transparent heels for women,transparent heels for women,informational,blog,https://inc5shop.com/blog,12100,HIGH 100,high,gsc; keyword_planner,770,140344,0.01,4.69,https://inc5shop.com/collections/transparent-heel-for-women,India,new,GKP volume 12100; competition HIGH 100; GSC 770 clicks and 140344 impressions; observed page https://inc5shop.com/collections/transparent-heel-for-women
belly shoes,belly shoes,informational,blog,https://inc5shop.com/blog,12100,HIGH 96,high,keyword_planner,,,,,,,new,GKP volume 12100; competition HIGH 96
brand shoes,brand shoes,informational,blog,https://inc5shop.com/blog,12100,HIGH 97,high,keyword_planner,,,,,,,new,GKP volume 12100; competition HIGH 97
bridal sandals,bridal sandals,informational,blog,https://inc5shop.com/blog,12100,HIGH 98,high,keyword_planner,,,,,,,new,GKP volume 12100; competition HIGH 98
heel sandals,heel sandals,informational,blog,https://inc5shop.com/blog,12100,HIGH 97,high,keyword_planner,,,,,,,new,GKP volume 12100; competition HIGH 97
heel slippers for women,heel slippers for women,informational,blog,https://inc5shop.com/blog,12100,HIGH 99,high,keyword_planner,,,,,,,new,GKP volume 12100; competition HIGH 99
ladies casual shoes,ladies casual shoes,informational,blog,https://inc5shop.com/blog,12100,HIGH 100,high,keyword_planner,,,,,,,new,GKP volume 12100; competition HIGH 100
mochi sandals for women,mochi sandals for women,informational,blog,https://inc5shop.com/blog,12100,HIGH 100,high,keyword_planner,,,,,,,new,GKP volume 12100; competition HIGH 100
shoes bride,shoes bride,informational,blog,https://inc5shop.com/blog,12100,HIGH 100,high,keyword_planner,,,,,,,new,GKP volume 12100; competition HIGH 100
women casual shoes,women casual shoes,informational,blog,https://inc5shop.com/blog,12100,HIGH 100,high,keyword_planner,,,,,,,new,GKP volume 12100; competition HIGH 100
inc 5 shoes,inc 5 shoes,informational,blog,https://inc5shop.com/blog,9900,HIGH 99,high,gsc; keyword_planner,6151,287893,0.09,1.53,https://inc5shop.com/,India,new,GKP volume 9900; competition HIGH 99; GSC 6151 clicks and 287893 impressions; observed page https://inc5shop.com/
inc 5 footwear,inc 5 footwear,informational,blog,https://inc5shop.com/blog,9900,HIGH 99,high,gsc; keyword_planner,1771,104787,0.04,1.78,https://inc5shop.com/,India,new,GKP volume 9900; competition HIGH 99; GSC 1771 clicks and 104787 impressions; observed page https://inc5shop.com/
inc 5 sandals,inc 5 sandals,informational,blog,https://inc5shop.com/blog,9900,HIGH 99,high,gsc; keyword_planner,629,37462,0.03,1.57,https://inc5shop.com/collections/womens-sandals,India,new,GKP volume 9900; competition HIGH 99; GSC 629 clicks and 37462 impressions; observed page https://inc5shop.com/collections/womens-sandals
best formal shoes for men,best formal shoes for men,commercial,comparison,https://inc5shop.com/vs,9900,HIGH 100,high,keyword_planner,,,,,,,new,GKP volume 9900; competition HIGH 100
golden heels,golden heels,informational,blog,https://inc5shop.com/blog,9900,HIGH 100,high,keyword_planner,,,,,,,new,GKP volume 9900; competition HIGH 100
mochi shoes for men,mochi shoes for men,informational,blog,https://inc5shop.com/blog,9900,HIGH 100,high,keyword_planner,,,,,,,new,GKP volume 9900; competition HIGH 100
mochi women footwear,mochi women footwear,informational,blog,https://inc5shop.com/blog,9900,HIGH 99,high,keyword_planner,,,,,,,new,GKP volume 9900; competition HIGH 99
shoes for men near me,shoes for men near me,informational,blog,https://inc5shop.com/blog,9900,LOW 33,high,keyword_planner,,,,,,,new,GKP volume 9900; competition LOW 33
wedding shoes for women,wedding shoes for women,informational,blog,https://inc5shop.com/blog,9900,HIGH 100,high,keyword_planner,,,,,,,new,GKP volume 9900; competition HIGH 100
women belly shoes,women belly shoes,informational,blog,https://inc5shop.com/blog,9900,HIGH 99,high,keyword_planner,,,,,,,new,GKP volume 9900; competition HIGH 99
formal footwear for women,formal footwear for women,informational,blog,https://inc5shop.com/blog,8100,HIGH 100,high,gsc; keyword_planner,177,53308,0,9.62,https://inc5shop.com/collections/women-footwear,India,new,GKP volume 8100; competition HIGH 100; GSC 177 clicks and 53308 impressions; observed page https://inc5shop.com/collections/women-footwear
ladies footwear,ladies footwear,informational,blog,https://inc5shop.com/blog,8100,HIGH 94,high,gsc; keyword_planner,353,49269,0.01,8.86,https://inc5shop.com/collections/women-footwear,India,new,GKP volume 8100; competition HIGH 94; GSC 353 clicks and 49269 impressions; observed page https://inc5shop.com/collections/women-footwear
black formal shoes for women,black formal shoes for women,informational,blog,https://inc5shop.com/blog,8100,HIGH 100,high,keyword_planner,,,,,,,new,GKP volume 8100; competition HIGH 100
flat heels for women,flat heels for women,informational,blog,https://inc5shop.com/blog,8100,HIGH 98,high,keyword_planner,,,,,,,new,GKP volume 8100; competition HIGH 98
golden heels for women,golden heels for women,informational,blog,https://inc5shop.com/blog,8100,HIGH 100,high,keyword_planner,,,,,,,new,GKP volume 8100; competition HIGH 100
high heel shoes for ladies,high heel shoes for ladies,informational,blog,https://inc5shop.com/blog,8100,HIGH 95,high,keyword_planner,,,,,,,new,GKP volume 8100; competition HIGH 95
high heel shoes for women,high heel shoes for women,informational,blog,https://inc5shop.com/blog,8100,HIGH 95,high,keyword_planner,,,,,,,new,GKP volume 8100; competition HIGH 95
metro sandals for women,metro sandals for women,informational,blog,https://inc5shop.com/blog,8100,HIGH 100,high,keyword_planner,,,,,,,new,GKP volume 8100; competition HIGH 100
metro shoes for women,metro shoes for women,informational,blog,https://inc5shop.com/blog,8100,HIGH 99,high,keyword_planner,,,,,,,new,GKP volume 8100; competition HIGH 99
pointed heels,pointed heels,informational,blog,https://inc5shop.com/blog,8100,HIGH 99,high,keyword_planner,,,,,,,new,GKP volume 8100; competition HIGH 99
sandals shop near me,sandals shop near me,informational,blog,https://inc5shop.com/blog,8100,LOW 26,high,keyword_planner,,,,,,,new,GKP volume 8100; competition LOW 26
shoes for women under 500,shoes for women under 500,informational,blog,https://inc5shop.com/blog,8100,HIGH 98,high,keyword_planner,,,,,,,new,GKP volume 8100; competition HIGH 98
inch 5 heels,inch 5 heels,informational,blog,https://inc5shop.com/blog,6600,HIGH 96,high,gsc; keyword_planner,1136,48819,0.04,1.04,https://inc5shop.com/collections/womens-heels,India,new,GKP volume 6600; competition HIGH 96; GSC 1136 clicks and 48819 impressions; observed page https://inc5shop.com/collections/womens-heels
5 inch heels,5 inch heels,informational,blog,https://inc5shop.com/blog,6600,HIGH 96,high,gsc; keyword_planner,224,31876,0.01,5.08,https://inc5shop.com/collections/womens-heels,India,new,GKP volume 6600; competition HIGH 96; GSC 224 clicks and 31876 impressions; observed page https://inc5shop.com/collections/womens-heels
formal heels for women,formal heels for women,informational,blog,https://inc5shop.com/blog,6600,HIGH 99,high,gsc; keyword_planner,119,31123,0,6.66,https://inc5shop.com/collections/womens-heels,India,new,GKP volume 6600; competition HIGH 99; GSC 119 clicks and 31123 impressions; observed page https://inc5shop.com/collections/womens-heels
cai footwear,cai footwear,informational,blog,https://inc5shop.com/blog,6600,HIGH 100,high,keyword_planner,,,,,,,new,GKP volume 6600; competition HIGH 100
cut shoes for women,cut shoes for women,informational,blog,https://inc5shop.com/blog,6600,HIGH 97,high,keyword_planner,,,,,,,new,GKP volume 6600; competition HIGH 97
fashionable shoes,fashionable shoes,informational,blog,https://inc5shop.com/blog,6600,HIGH 97,high,keyword_planner,,,,,,,new,GKP volume 6600; competition HIGH 97
flat shoes for ladies,flat shoes for ladies,informational,blog,https://inc5shop.com/blog,6600,HIGH 99,high,keyword_planner,,,,,,,new,GKP volume 6600; competition HIGH 99
inc 5 heels,inc 5 heels,informational,blog,https://inc5shop.com/blog,5400,HIGH 100,high,gsc; keyword_planner,3979,206762,0.05,1.14,https://inc5shop.com/collections/womens-heels,India,new,GKP volume 5400; competition HIGH 100; GSC 3979 clicks and 206762 impressions; observed page https://inc5shop.com/collections/womens-heels
comfortable heels for women,comfortable heels for women,informational,blog,https://inc5shop.com/blog,5400,HIGH 100,high,gsc; keyword_planner,305,48545,0.01,6.63,https://inc5shop.com/collections/womens-heels,India,new,GKP volume 5400; competition HIGH 100; GSC 305 clicks and 48545 impressions; observed page https://inc5shop.com/collections/womens-heels
best ladies shoes,best ladies shoes,commercial,comparison,https://inc5shop.com/vs,5400,HIGH 100,high,keyword_planner,,,,,,,new,GKP volume 5400; competition HIGH 100
best shoes for women,best shoes for women,commercial,comparison,https://inc5shop.com/vs,5400,HIGH 100,high,keyword_planner,,,,,,,new,GKP volume 5400; competition HIGH 100
catwalk heels,catwalk heels,informational,blog,https://inc5shop.com/blog,5400,HIGH 98,high,keyword_planner,,,,,,,new,GKP volume 5400; competition HIGH 98
catwalk sandals,catwalk sandals,informational,blog,https://inc5shop.com/blog,5400,HIGH 98,high,keyword_planner,,,,,,,new,GKP volume 5400; competition HIGH 98
catwalk shoes,catwalk shoes,informational,blog,https://inc5shop.com/blog,5400,HIGH 98,high,keyword_planner,,,,,,,new,GKP volume 5400; competition HIGH 98
comfort shoes for women,comfort shoes for women,informational,blog,https://inc5shop.com/blog,5400,HIGH 100,high,keyword_planner,,,,,,,new,GKP volume 5400; competition HIGH 100
good shoes for women,good shoes for women,informational,blog,https://inc5shop.com/blog,5400,HIGH 100,high,keyword_planner,,,,,,,new,GKP volume 5400; competition HIGH 100
ladies comfort shoes,ladies comfort shoes,informational,blog,https://inc5shop.com/blog,5400,HIGH 100,high,keyword_planner,,,,,,,new,GKP volume 5400; competition HIGH 100
ladies office shoes,ladies office shoes,informational,blog,https://inc5shop.com/blog,5400,HIGH 100,high,keyword_planner,,,,,,,new,GKP volume 5400; competition HIGH 100
mochi shoes for women,mochi shoes for women,informational,blog,https://inc5shop.com/blog,5400,HIGH 97,high,keyword_planner,,,,,,,new,GKP volume 5400; competition HIGH 97
office shoes women,office shoes women,informational,blog,https://inc5shop.com/blog,5400,HIGH 100,high,keyword_planner,,,,,,,new,GKP volume 5400; competition HIGH 100
party wear shoes,party wear shoes,informational,blog,https://inc5shop.com/blog,5400,HIGH 98,high,keyword_planner,,,,,,,new,GKP volume 5400; competition HIGH 98
rainy shoes for women,rainy shoes for women,informational,blog,https://inc5shop.com/blog,5400,HIGH 98,high,keyword_planner,,,,,,,new,GKP volume 5400; competition HIGH 98
shoe sale,shoe sale,informational,blog,https://inc5shop.com/blog,5400,HIGH 100,high,keyword_planner,,,,,,,new,GKP volume 5400; competition HIGH 100
studded shoes,studded shoes,informational,blog,https://inc5shop.com/blog,5400,HIGH 94,high,keyword_planner,,,,,,,new,GKP volume 5400; competition HIGH 94
stylish shoes,stylish shoes,informational,blog,https://inc5shop.com/blog,5400,HIGH 95,high,keyword_planner,,,,,,,new,GKP volume 5400; competition HIGH 95
casual flats for women,casual flats for women,informational,blog,https://inc5shop.com/blog,4400,HIGH 98,high,gsc; keyword_planner,151,46887,0,6.45,https://inc5shop.com/collections/womens-flats,India,new,GKP volume 4400; competition HIGH 98; GSC 151 clicks and 46887 impressions; observed page https://inc5shop.com/collections/womens-flats
branded sandals for women,branded sandals for women,informational,blog,https://inc5shop.com/blog,4400,HIGH 100,high,gsc; keyword_planner,254,23100,0.01,5.8,https://inc5shop.com/collections/womens-sandals,India,new,GKP volume 4400; competition HIGH 100; GSC 254 clicks and 23100 impressions; observed page https://inc5shop.com/collections/womens-sandals
branded heels,branded heels,informational,blog,https://inc5shop.com/blog,4400,HIGH 94,high,keyword_planner,,,,,,,new,GKP volume 4400; competition HIGH 94
casual footwear for women,casual footwear for women,informational,blog,https://inc5shop.com/blog,4400,HIGH 98,high,keyword_planner,,,,,,,new,GKP volume 4400; competition HIGH 98
comfort shoes,comfort shoes,informational,blog,https://inc5shop.com/blog,4400,HIGH 99,high,keyword_planner,,,,,,,new,GKP volume 4400; competition HIGH 99
expensive heels,expensive heels,informational,blog,https://inc5shop.com/blog,4400,HIGH 87,high,keyword_planner,,,,,,,new,GKP volume 4400; competition HIGH 87
heels 3 inch,heels 3 inch,informational,blog,https://inc5shop.com/blog,4400,HIGH 92,high,keyword_planner,,,,,,,new,GKP volume 4400; competition HIGH 92
heels beige,heels beige,informational,blog,https://inc5shop.com/blog,4400,HIGH 100,high,keyword_planner,,,,,,,new,GKP volume 4400; competition HIGH 100
heels wedding,heels wedding,informational,blog,https://inc5shop.com/blog,4400,HIGH 100,high,keyword_planner,,,,,,,new,GKP volume 4400; competition HIGH 100
high heel sandals for women,high heel sandals for women,informational,blog,https://inc5shop.com/blog,4400,HIGH 96,high,keyword_planner,,,,,,,new,GKP volume 4400; competition HIGH 96
jute shoes,jute shoes,informational,blog,https://inc5shop.com/blog,4400,HIGH 98,high,keyword_planner,,,,,,,new,GKP volume 4400; competition HIGH 98
leather shoes for women,leather shoes for women,informational,blog,https://inc5shop.com/blog,4400,HIGH 100,high,keyword_planner,,,,,,,new,GKP volume 4400; competition HIGH 100
shoes flat,shoes flat,informational,blog,https://inc5shop.com/blog,4400,HIGH 96,high,keyword_planner,,,,,,,new,GKP volume 4400; competition HIGH 96
slippers with heels,slippers with heels,informational,blog,https://inc5shop.com/blog,4400,HIGH 99,high,keyword_planner,,,,,,,new,GKP volume 4400; competition HIGH 99
stylish shoes for women,stylish shoes for women,informational,blog,https://inc5shop.com/blog,4400,HIGH 97,high,keyword_planner,,,,,,,new,GKP volume 4400; competition HIGH 97
stylish women's shoes,stylish women's shoes,informational,blog,https://inc5shop.com/blog,4400,HIGH 97,high,keyword_planner,,,,,,,new,GKP volume 4400; competition HIGH 97
ethnic footwear for women,ethnic footwear for women,informational,blog,https://inc5shop.com/blog,3600,HIGH 100,high,gsc; keyword_planner,442,32702,0.01,5.54,https://inc5shop.com/collections/ethnic-footwear,India,new,GKP volume 3600; competition HIGH 100; GSC 442 clicks and 32702 impressions; observed page https://inc5shop.com/collections/ethnic-footwear
black block heel shoes,black block heel shoes,informational,blog,https://inc5shop.com/blog,3600,HIGH 100,high,keyword_planner,,,,,,,new,GKP volume 3600; competition HIGH 100
black block heels for women,black block heels for women,informational,blog,https://inc5shop.com/blog,3600,HIGH 100,high,keyword_planner,,,,,,,new,GKP volume 3600; competition HIGH 100
block heels black,block heels black,informational,blog,https://inc5shop.com/blog,3600,HIGH 100,high,keyword_planner,,,,,,,new,GKP volume 3600; competition HIGH 100
brown shoes for women,brown shoes for women,informational,blog,https://inc5shop.com/blog,3600,HIGH 100,high,keyword_planner,,,,,,,new,GKP volume 3600; competition HIGH 100
catwalk footwear,catwalk footwear,informational,blog,https://inc5shop.com/blog,3600,HIGH 97,high,keyword_planner,,,,,,,new,GKP volume 3600; competition HIGH 97
low heel sandals for women,low heel sandals for women,informational,blog,https://inc5shop.com/blog,3600,HIGH 95,high,keyword_planner,,,,,,,new,GKP volume 3600; competition HIGH 95
metro heels,metro heels,informational,blog,https://inc5shop.com/blog,3600,HIGH 99,high,keyword_planner,,,,,,,new,GKP volume 3600; competition HIGH 99
metro shoes for men,metro shoes for men,informational,blog,https://inc5shop.com/blog,3600,HIGH 99,high,keyword_planner,,,,,,,new,GKP volume 3600; competition HIGH 99
metro women footwear,metro women footwear,informational,blog,https://inc5shop.com/blog,3600,HIGH 99,high,keyword_planner,,,,,,,new,GKP volume 3600; competition HIGH 99
platform shoes,platform shoes,informational,blog,https://inc5shop.com/blog,3600,HIGH 90,high,keyword_planner,,,,,,,new,GKP volume 3600; competition HIGH 90
red ladies shoes,red ladies shoes,informational,blog,https://inc5shop.com/blog,3600,HIGH 100,high,keyword_planner,,,,,,,new,GKP volume 3600; competition HIGH 100
shoes slippers,shoes slippers,informational,blog,https://inc5shop.com/blog,3600,HIGH 95,high,keyword_planner,,,,,,,new,GKP volume 3600; competition HIGH 95
trendy shoes for women,trendy shoes for women,informational,blog,https://inc5shop.com/blog,3600,HIGH 98,high,keyword_planner,,,,,,,new,GKP volume 3600; competition HIGH 98
party wear heels,party wear heels,informational,blog,https://inc5shop.com/blog,2900,HIGH 100,high,gsc; keyword_planner,98,15541,0.01,4.72,https://inc5shop.com/collections/womens-heels,India,new,GKP volume 2900; competition HIGH 100; GSC 98 clicks and 15541 impressions; observed page https://inc5shop.com/collections/womens-heels
best brand shoes for women,best brand shoes for women,commercial,comparison,https://inc5shop.com/vs,2900,HIGH 100,high,keyword_planner,,,,,,,new,GKP volume 2900; competition HIGH 100
black heels sandals,black heels sandals,informational,blog,https://inc5shop.com/blog,2900,HIGH 98,high,keyword_planner,,,,,,,new,GKP volume 2900; competition HIGH 98
block heel shoes for ladies,block heel shoes for ladies,informational,blog,https://inc5shop.com/blog,2900,HIGH 99,high,keyword_planner,,,,,,,new,GKP volume 2900; competition HIGH 99
comfortable formal shoes for ladies,comfortable formal shoes for ladies,informational,blog,https://inc5shop.com/blog,2900,HIGH 99,high,keyword_planner,,,,,,,new,GKP volume 2900; competition HIGH 99
fancy shoes for women,fancy shoes for women,informational,blog,https://inc5shop.com/blog,2900,HIGH 98,high,keyword_planner,,,,,,,new,GKP volume 2900; competition HIGH 98
fashion shoes for men,fashion shoes for men,informational,blog,https://inc5shop.com/blog,2900,HIGH 95,high,keyword_planner,,,,,,,new,GKP volume 2900; competition HIGH 95
flat heels,flat heels,informational,blog,https://inc5shop.com/blog,2900,HIGH 95,high,keyword_planner,,,,,,,new,GKP volume 2900; competition HIGH 95
flat slippers,flat slippers,informational,blog,https://inc5shop.com/blog,2900,HIGH 98,high,keyword_planner,,,,,,,new,GKP volume 2900; competition HIGH 98
heel stores near me,heel stores near me,informational,blog,https://inc5shop.com/blog,2900,MEDIUM 49,high,keyword_planner,,,,,,,new,GKP volume 2900; competition MEDIUM 49
ladies leather shoes,ladies leather shoes,informational,blog,https://inc5shop.com/blog,2900,HIGH 100,high,keyword_planner,,,,,,,new,GKP volume 2900; competition HIGH 100
party shoes,party shoes,informational,blog,https://inc5shop.com/blog,2900,HIGH 97,high,keyword_planner,,,,,,,new,GKP volume 2900; competition HIGH 97
shoes online for men,shoes online for men,informational,blog,https://inc5shop.com/blog,2900,HIGH 100,high,keyword_planner,,,,,,,new,GKP volume 2900; competition HIGH 100
top brand shoes for men,top brand shoes for men,commercial,comparison,https://inc5shop.com/vs,2900,HIGH 100,high,keyword_planner,,,,,,,new,GKP volume 2900; competition HIGH 100
trending shoes for women,trending shoes for women,informational,blog,https://inc5shop.com/blog,2900,HIGH 99,high,keyword_planner,,,,,,,new,GKP volume 2900; competition HIGH 99
womens block heel shoes,womens block heel shoes,informational,blog,https://inc5shop.com/blog,2900,HIGH 99,high,keyword_planner,,,,,,,new,GKP volume 2900; competition HIGH 99
comfortable heels,comfortable heels,informational,blog,https://inc5shop.com/blog,2400,HIGH 100,high,gsc; keyword_planner,60,12637,0,8.5,https://inc5shop.com/collections/womens-heels,India,new,GKP volume 2400; competition HIGH 100; GSC 60 clicks and 12637 impressions; observed page https://inc5shop.com/collections/womens-heels
beige shoes women,beige shoes women,informational,blog,https://inc5shop.com/blog,2400,HIGH 100,high,keyword_planner,,,,,,,new,GKP volume 2400; competition HIGH 100
black and red heels,black and red heels,informational,blog,https://inc5shop.com/blog,2400,HIGH 93,high,keyword_planner,,,,,,,new,GKP volume 2400; competition HIGH 93
branded formal shoes for men,branded formal shoes for men,informational,blog,https://inc5shop.com/blog,2400,HIGH 100,high,keyword_planner,,,,,,,new,GKP volume 2400; competition HIGH 100
comfortable footwear for ladies,comfortable footwear for ladies,informational,blog,https://inc5shop.com/blog,2400,HIGH 97,high,keyword_planner,,,,,,,new,GKP volume 2400; competition HIGH 97
comfortable heeled shoes,comfortable heeled shoes,informational,blog,https://inc5shop.com/blog,2400,HIGH 100,high,keyword_planner,,,,,,,new,GKP volume 2400; competition HIGH 100
fashion shoes for women,fashion shoes for women,informational,blog,https://inc5shop.com/blog,2400,HIGH 96,high,keyword_planner,,,,,,,new,GKP volume 2400; competition HIGH 96
female shoes,female shoes,informational,blog,https://inc5shop.com/blog,2400,HIGH 98,high,keyword_planner,,,,,,,new,GKP volume 2400; competition HIGH 98
formal heels,formal heels,informational,blog,https://inc5shop.com/blog,2400,HIGH 100,high,keyword_planner,,,,,,,new,GKP volume 2400; competition HIGH 100
