keyword,rank_status,avg_position,rank_bucket,clicks,impressions,ctr,ranking_page,country,priority,intent,page_type,target_url,volume,difficulty,source,notes
ladies shoes,ranked_india,24.22,positions_21_50,0,92,0.0,https://inc5shop.com/collections/women-footwear,India,high,informational,blog,https://inc5shop.com/blog,33100,HIGH 97,Google Search Console via Composio + Google Ads Keyword Planner via Composio,GKP volume 33100; competition HIGH 97; GSC 121 clicks and 22682 impressions; observed page https://inc5shop.com/collections/women-footwear
black shoes for women,ranked_india,3.0,top_3,0,1,0.0,https://inc5shop.com/,India,high,informational,blog,https://inc5shop.com/blog,33100,HIGH 100,Google Ads Keyword Planner via Composio,GKP volume 33100; competition HIGH 100
black heel shoes,ranked_india,20.0,positions_11_20,0,1,0.0,https://inc5shop.com/collections/womens-heels,India,high,informational,blog,https://inc5shop.com/blog,27100,HIGH 100,Google Ads Keyword Planner via Composio,GKP volume 27100; competition HIGH 100
high heels for women,ranked_india,4.58,positions_4_10,50,6880,0.0073,https://inc5shop.com/collections/womens-heels,India,high,informational,blog,https://inc5shop.com/blog,22200,HIGH 98,Google Search Console via Composio + Google Ads Keyword Planner via Composio,GKP volume 22200; competition HIGH 98; GSC 732 clicks and 192415 impressions; observed page https://inc5shop.com/collections/womens-heels
white heels for women,ranked_india,21.5,positions_21_50,0,6,0.0,https://inc5shop.com/collections/womens-heels,India,high,informational,blog,https://inc5shop.com/blog,22200,HIGH 100,Google Ads Keyword Planner via Composio,GKP volume 22200; competition HIGH 100
platform heels for women,ranked_india,3.24,positions_4_10,109,13872,0.0079,https://inc5shop.com/collections/platform-heels,India,high,informational,blog,https://inc5shop.com/blog,18100,HIGH 99,Google Search Console via Composio + Google Ads Keyword Planner via Composio,GKP volume 18100; competition HIGH 99; GSC 1565 clicks and 211804 impressions; observed page https://inc5shop.com/collections/platform-heels
block heels,ranked_india,8.33,positions_4_10,0,3,0.0,https://inc5shop.com/,India,high,informational,blog,https://inc5shop.com/blog,18100,HIGH 95,Google Ads Keyword Planner via Composio,GKP volume 18100; competition HIGH 95
block high heels,ranked_india,11.33,positions_11_20,0,3,0.0,https://inc5shop.com/collections/womens-heels,India,high,informational,blog,https://inc5shop.com/blog,18100,HIGH 95,Google Ads Keyword Planner via Composio,GKP volume 18100; competition HIGH 95
pencil heels for women,ranked_india,3.0,top_3,0,1,0.0,https://inc5shop.com/blogs/blog/how-to-choose-comfortable-heels-for-all-day-wear,India,high,informational,blog,https://inc5shop.com/blog,18100,HIGH 98,Google Ads Keyword Planner via Composio,GKP volume 18100; competition HIGH 98
transparent heels,ranked_india,3.56,positions_4_10,16,7012,0.0023,https://inc5shop.com/collections/transparent-heel-for-women,India,high,informational,blog,https://inc5shop.com/blog,14800,HIGH 100,Google Search Console via Composio + Google Ads Keyword Planner via Composio,GKP volume 14800; competition HIGH 100; GSC 824 clicks and 160407 impressions; observed page https://inc5shop.com/collections/transparent-heel-for-women
flat slippers for women,ranked_india,6.7,positions_4_10,40,9134,0.0044,https://inc5shop.com/collections/womens-flats,India,high,informational,blog,https://inc5shop.com/blog,14800,HIGH 99,Google Search Console via Composio + Google Ads Keyword Planner via Composio,GKP volume 14800; competition HIGH 99; GSC 357 clicks and 98982 impressions; observed page https://inc5shop.com/collections/womens-flats
heel shoes for women,ranked_india,6.3,positions_4_10,16,4887,0.0033,https://inc5shop.com/collections/womens-heels,India,high,informational,blog,https://inc5shop.com/blog,14800,HIGH 98,Google Search Console via Composio + Google Ads Keyword Planner via Composio,GKP volume 14800; competition HIGH 98; GSC 129 clicks and 68511 impressions; observed page https://inc5shop.com/collections/womens-heels
party wear sandals for women,ranked_india,5.03,positions_4_10,9,2649,0.0034,https://inc5shop.com/collections/womens-sandals,India,high,informational,blog,https://inc5shop.com/blog,14800,HIGH 99,Google Search Console via Composio + Google Ads Keyword Planner via Composio,GKP volume 14800; competition HIGH 99; GSC 363 clicks and 53172 impressions; observed page https://inc5shop.com/collections/womens-sandals
branded shoes for women,ranked_india,11.0,positions_11_20,8,3882,0.0021,https://inc5shop.com/collections/women-footwear,India,high,informational,blog,https://inc5shop.com/blog,14800,HIGH 100,Google Ads Keyword Planner via Composio,GKP volume 14800; competition HIGH 100
heels transparent,ranked_india,3.56,positions_4_10,1,239,0.0042,https://inc5shop.com/collections/transparent-heel-for-women,India,high,informational,blog,https://inc5shop.com/blog,14800,HIGH 100,Google Ads Keyword Planner via Composio,GKP volume 14800; competition HIGH 100
ladies formal shoes,ranked_india,12.46,positions_11_20,0,332,0.0,https://inc5shop.com/collections/women-footwear,India,high,informational,blog,https://inc5shop.com/blog,14800,HIGH 100,Google Ads Keyword Planner via Composio,GKP volume 14800; competition HIGH 100
pencil heels,ranked_india,5.33,positions_4_10,0,3,0.0,https://inc5shop.com/,India,high,informational,blog,https://inc5shop.com/blog,14800,HIGH 95,Google Ads Keyword Planner via Composio,GKP volume 14800; competition HIGH 95
transparent heels for women,ranked_india,2.83,top_3,24,5980,0.004,https://inc5shop.com/collections/transparent-heel-for-women,India,high,informational,blog,https://inc5shop.com/blog,12100,HIGH 100,Google Search Console via Composio + Google Ads Keyword Planner via Composio,GKP volume 12100; competition HIGH 100; GSC 770 clicks and 140344 impressions; observed page https://inc5shop.com/collections/transparent-heel-for-women
belly shoes,ranked_india,14.33,positions_11_20,0,6,0.0,https://inc5shop.com/,India,high,informational,blog,https://inc5shop.com/blog,12100,HIGH 96,Google Ads Keyword Planner via Composio,GKP volume 12100; competition HIGH 96
brand shoes,not_seen_last_28_days,,not_seen_last_28_days,,,,,,high,informational,blog,https://inc5shop.com/blog,12100,HIGH 97,Google Ads Keyword Planner via Composio,GKP volume 12100; competition HIGH 97
bridal sandals,ranked_india,37.25,positions_21_50,0,4,0.0,https://inc5shop.com/,India,high,informational,blog,https://inc5shop.com/blog,12100,HIGH 98,Google Ads Keyword Planner via Composio,GKP volume 12100; competition HIGH 98
heel sandals,ranked_india,11.87,positions_11_20,1,157,0.0064,https://inc5shop.com/collections/womens-heels,India,high,informational,blog,https://inc5shop.com/blog,12100,HIGH 97,Google Ads Keyword Planner via Composio,GKP volume 12100; competition HIGH 97
heel slippers for women,not_seen_last_28_days,,not_seen_last_28_days,,,,,,high,informational,blog,https://inc5shop.com/blog,12100,HIGH 99,Google Ads Keyword Planner via Composio,GKP volume 12100; competition HIGH 99
ladies casual shoes,ranked_india,8.0,positions_4_10,0,3,0.0,https://inc5shop.com/,India,high,informational,blog,https://inc5shop.com/blog,12100,HIGH 100,Google Ads Keyword Planner via Composio,GKP volume 12100; competition HIGH 100
mochi sandals for women,ranked_india,37.0,positions_21_50,0,1,0.0,https://inc5shop.com/,India,high,informational,blog,https://inc5shop.com/blog,12100,HIGH 100,Google Ads Keyword Planner via Composio,GKP volume 12100; competition HIGH 100
shoes bride,not_seen_last_28_days,,not_seen_last_28_days,,,,,,high,informational,blog,https://inc5shop.com/blog,12100,HIGH 100,Google Ads Keyword Planner via Composio,GKP volume 12100; competition HIGH 100
women casual shoes,not_seen_last_28_days,,not_seen_last_28_days,,,,,,high,informational,blog,https://inc5shop.com/blog,12100,HIGH 100,Google Ads Keyword Planner via Composio,GKP volume 12100; competition HIGH 100
inc 5 shoes,ranked_india,1.04,top_3,211,3648,0.0578,https://inc5shop.com/,India,high,informational,blog,https://inc5shop.com/blog,9900,HIGH 99,Google Search Console via Composio + Google Ads Keyword Planner via Composio,GKP volume 9900; competition HIGH 99; GSC 6151 clicks and 287893 impressions; observed page https://inc5shop.com/
inc 5 footwear,ranked_india,1.48,top_3,71,2117,0.0335,https://inc5shop.com/,India,high,informational,blog,https://inc5shop.com/blog,9900,HIGH 99,Google Search Console via Composio + Google Ads Keyword Planner via Composio,GKP volume 9900; competition HIGH 99; GSC 1771 clicks and 104787 impressions; observed page https://inc5shop.com/
inc 5 sandals,ranked_india,1.06,top_3,32,967,0.0331,https://inc5shop.com/collections/womens-sandals,India,high,informational,blog,https://inc5shop.com/blog,9900,HIGH 99,Google Search Console via Composio + Google Ads Keyword Planner via Composio,GKP volume 9900; competition HIGH 99; GSC 629 clicks and 37462 impressions; observed page https://inc5shop.com/collections/womens-sandals
best formal shoes for men,ranked_india,1.86,top_3,0,7,0.0,https://inc5shop.com/blogs/blog/https-inc5shop-com-blogs-blog-top-4-best-mens-formal-shoes,India,high,commercial,comparison,https://inc5shop.com/vs,9900,HIGH 100,Google Ads Keyword Planner via Composio,GKP volume 9900; competition HIGH 100
golden heels,ranked_india,4.5,positions_4_10,0,2,0.0,https://inc5shop.com/products/women-golden-party-wear-embellished-round-toe-block-heel-sandals-600959-gold,India,high,informational,blog,https://inc5shop.com/blog,9900,HIGH 100,Google Ads Keyword Planner via Composio,GKP volume 9900; competition HIGH 100
mochi shoes for men,ranked_india,45.0,positions_21_50,0,1,0.0,https://inc5shop.com/,India,high,informational,blog,https://inc5shop.com/blog,9900,HIGH 100,Google Ads Keyword Planner via Composio,GKP volume 9900; competition HIGH 100
mochi women footwear,not_seen_last_28_days,,not_seen_last_28_days,,,,,,high,informational,blog,https://inc5shop.com/blog,9900,HIGH 99,Google Ads Keyword Planner via Composio,GKP volume 9900; competition HIGH 99
shoes for men near me,ranked_india,9.06,positions_4_10,0,17,0.0,https://inc5shop.com/,India,high,informational,blog,https://inc5shop.com/blog,9900,LOW 33,Google Ads Keyword Planner via Composio,GKP volume 9900; competition LOW 33
wedding shoes for women,not_seen_last_28_days,,not_seen_last_28_days,,,,,,high,informational,blog,https://inc5shop.com/blog,9900,HIGH 100,Google Ads Keyword Planner via Composio,GKP volume 9900; competition HIGH 100
women belly shoes,not_seen_last_28_days,,not_seen_last_28_days,,,,,,high,informational,blog,https://inc5shop.com/blog,9900,HIGH 99,Google Ads Keyword Planner via Composio,GKP volume 9900; competition HIGH 99
formal footwear for women,ranked_india,9.1,positions_4_10,12,5023,0.0024,https://inc5shop.com/collections/women-footwear,India,high,informational,blog,https://inc5shop.com/blog,8100,HIGH 100,Google Search Console via Composio + Google Ads Keyword Planner via Composio,GKP volume 8100; competition HIGH 100; GSC 177 clicks and 53308 impressions; observed page https://inc5shop.com/collections/women-footwear
ladies footwear,ranked_india,9.58,positions_4_10,26,3928,0.0066,https://inc5shop.com/collections/women-footwear,India,high,informational,blog,https://inc5shop.com/blog,8100,HIGH 94,Google Search Console via Composio + Google Ads Keyword Planner via Composio,GKP volume 8100; competition HIGH 94; GSC 353 clicks and 49269 impressions; observed page https://inc5shop.com/collections/women-footwear
black formal shoes for women,not_seen_last_28_days,,not_seen_last_28_days,,,,,,high,informational,blog,https://inc5shop.com/blog,8100,HIGH 100,Google Ads Keyword Planner via Composio,GKP volume 8100; competition HIGH 100
flat heels for women,ranked_india,4.75,positions_4_10,9,2700,0.0033,https://inc5shop.com/collections/womens-flats,India,high,informational,blog,https://inc5shop.com/blog,8100,HIGH 98,Google Ads Keyword Planner via Composio,GKP volume 8100; competition HIGH 98
golden heels for women,ranked_india,10.0,positions_4_10,0,2,0.0,https://inc5shop.com/collections/rose-gold,India,high,informational,blog,https://inc5shop.com/blog,8100,HIGH 100,Google Ads Keyword Planner via Composio,GKP volume 8100; competition HIGH 100
high heel shoes for ladies,ranked_india,11.8,positions_11_20,0,5,0.0,https://inc5shop.com/collections/womens-heels,India,high,informational,blog,https://inc5shop.com/blog,8100,HIGH 95,Google Ads Keyword Planner via Composio,GKP volume 8100; competition HIGH 95
high heel shoes for women,ranked_india,5.28,positions_4_10,1,426,0.0023,https://inc5shop.com/collections/womens-heels,India,high,informational,blog,https://inc5shop.com/blog,8100,HIGH 95,Google Ads Keyword Planner via Composio,GKP volume 8100; competition HIGH 95
metro sandals for women,ranked_india,36.0,positions_21_50,0,2,0.0,https://inc5shop.com/,India,high,informational,blog,https://inc5shop.com/blog,8100,HIGH 100,Google Ads Keyword Planner via Composio,GKP volume 8100; competition HIGH 100
metro shoes for women,ranked_non_india,50.0,positions_21_50,0,1,0.0,https://inc5shop.com/,Germany,high,informational,blog,https://inc5shop.com/blog,8100,HIGH 99,Google Ads Keyword Planner via Composio,GKP volume 8100; competition HIGH 99
pointed heels,ranked_india,7.97,positions_4_10,2,1485,0.0013,https://inc5shop.com/collections/pumps,India,high,informational,blog,https://inc5shop.com/blog,8100,HIGH 99,Google Ads Keyword Planner via Composio,GKP volume 8100; competition HIGH 99
sandals shop near me,ranked_india,9.12,positions_4_10,0,73,0.0,https://inc5shop.com/,India,high,informational,blog,https://inc5shop.com/blog,8100,LOW 26,Google Ads Keyword Planner via Composio,GKP volume 8100; competition LOW 26
shoes for women under 500,ranked_india,25.75,positions_21_50,0,4,0.0,https://inc5shop.com/collections/women-footwear,India,high,informational,blog,https://inc5shop.com/blog,8100,HIGH 98,Google Ads Keyword Planner via Composio,GKP volume 8100; competition HIGH 98
inch 5 heels,ranked_india,1.01,top_3,70,2212,0.0316,https://inc5shop.com/collections/womens-heels,India,high,informational,blog,https://inc5shop.com/blog,6600,HIGH 96,Google Search Console via Composio + Google Ads Keyword Planner via Composio,GKP volume 6600; competition HIGH 96; GSC 1136 clicks and 48819 impressions; observed page https://inc5shop.com/collections/womens-heels
5 inch heels,ranked_india,6.32,positions_4_10,7,1772,0.004,https://inc5shop.com/collections/womens-heels,India,high,informational,blog,https://inc5shop.com/blog,6600,HIGH 96,Google Search Console via Composio + Google Ads Keyword Planner via Composio,GKP volume 6600; competition HIGH 96; GSC 224 clicks and 31876 impressions; observed page https://inc5shop.com/collections/womens-heels
formal heels for women,ranked_india,4.0,positions_4_10,14,4161,0.0034,https://inc5shop.com/collections/womens-heels,India,high,informational,blog,https://inc5shop.com/blog,6600,HIGH 99,Google Search Console via Composio + Google Ads Keyword Planner via Composio,GKP volume 6600; competition HIGH 99; GSC 119 clicks and 31123 impressions; observed page https://inc5shop.com/collections/womens-heels
cai footwear,not_seen_last_28_days,,not_seen_last_28_days,,,,,,high,informational,blog,https://inc5shop.com/blog,6600,HIGH 100,Google Ads Keyword Planner via Composio,GKP volume 6600; competition HIGH 100
cut shoes for women,ranked_india,19.0,positions_11_20,0,1,0.0,https://inc5shop.com/collections/women-footwear,India,high,informational,blog,https://inc5shop.com/blog,6600,HIGH 97,Google Ads Keyword Planner via Composio,GKP volume 6600; competition HIGH 97
fashionable shoes,not_seen_last_28_days,,not_seen_last_28_days,,,,,,high,informational,blog,https://inc5shop.com/blog,6600,HIGH 97,Google Ads Keyword Planner via Composio,GKP volume 6600; competition HIGH 97
flat shoes for ladies,ranked_india,8.17,positions_4_10,0,6,0.0,https://inc5shop.com/collections/womens-flats,India,high,informational,blog,https://inc5shop.com/blog,6600,HIGH 99,Google Ads Keyword Planner via Composio,GKP volume 6600; competition HIGH 99
inc 5 heels,ranked_india,1.01,top_3,103,2847,0.0362,https://inc5shop.com/collections/womens-heels,India,high,informational,blog,https://inc5shop.com/blog,5400,HIGH 100,Google Search Console via Composio + Google Ads Keyword Planner via Composio,GKP volume 5400; competition HIGH 100; GSC 3979 clicks and 206762 impressions; observed page https://inc5shop.com/collections/womens-heels
comfortable heels for women,ranked_india,5.96,positions_4_10,18,3243,0.0056,https://inc5shop.com/collections/womens-heels,India,high,informational,blog,https://inc5shop.com/blog,5400,HIGH 100,Google Search Console via Composio + Google Ads Keyword Planner via Composio,GKP volume 5400; competition HIGH 100; GSC 305 clicks and 48545 impressions; observed page https://inc5shop.com/collections/womens-heels
best ladies shoes,ranked_india,7.0,positions_4_10,0,1,0.0,https://inc5shop.com/collections/women-footwear,India,high,commercial,comparison,https://inc5shop.com/vs,5400,HIGH 100,Google Ads Keyword Planner via Composio,GKP volume 5400; competition HIGH 100
best shoes for women,ranked_india,6.0,positions_4_10,0,2,0.0,https://inc5shop.com/,India,high,commercial,comparison,https://inc5shop.com/vs,5400,HIGH 100,Google Ads Keyword Planner via Composio,GKP volume 5400; competition HIGH 100
catwalk heels,ranked_india,25.0,positions_21_50,0,3,0.0,https://inc5shop.com/,India,high,informational,blog,https://inc5shop.com/blog,5400,HIGH 98,Google Ads Keyword Planner via Composio,GKP volume 5400; competition HIGH 98
catwalk sandals,not_seen_last_28_days,,not_seen_last_28_days,,,,,,high,informational,blog,https://inc5shop.com/blog,5400,HIGH 98,Google Ads Keyword Planner via Composio,GKP volume 5400; competition HIGH 98
catwalk shoes,ranked_india,24.0,positions_21_50,0,3,0.0,https://inc5shop.com/,India,high,informational,blog,https://inc5shop.com/blog,5400,HIGH 98,Google Ads Keyword Planner via Composio,GKP volume 5400; competition HIGH 98
comfort shoes for women,ranked_india,10.33,positions_11_20,0,21,0.0,https://inc5shop.com/collections/women-footwear,India,high,informational,blog,https://inc5shop.com/blog,5400,HIGH 100,Google Ads Keyword Planner via Composio,GKP volume 5400; competition HIGH 100
good shoes for women,ranked_india,1.0,top_3,0,3,0.0,https://inc5shop.com/collections/women-footwear,India,high,informational,blog,https://inc5shop.com/blog,5400,HIGH 100,Google Ads Keyword Planner via Composio,GKP volume 5400; competition HIGH 100
ladies comfort shoes,ranked_india,9.0,positions_4_10,0,1,0.0,https://inc5shop.com/collections/women-footwear,India,high,informational,blog,https://inc5shop.com/blog,5400,HIGH 100,Google Ads Keyword Planner via Composio,GKP volume 5400; competition HIGH 100
ladies office shoes,ranked_india,15.0,positions_11_20,0,2,0.0,https://inc5shop.com/collections/women-footwear,India,high,informational,blog,https://inc5shop.com/blog,5400,HIGH 100,Google Ads Keyword Planner via Composio,GKP volume 5400; competition HIGH 100
mochi shoes for women,ranked_india,26.0,positions_21_50,0,1,0.0,https://inc5shop.com/,India,high,informational,blog,https://inc5shop.com/blog,5400,HIGH 97,Google Ads Keyword Planner via Composio,GKP volume 5400; competition HIGH 97
office shoes women,ranked_india,9.79,positions_4_10,0,350,0.0,https://inc5shop.com/collections/women-footwear,India,high,informational,blog,https://inc5shop.com/blog,5400,HIGH 100,Google Ads Keyword Planner via Composio,GKP volume 5400; competition HIGH 100
party wear shoes,ranked_india,10.5,positions_11_20,0,22,0.0,https://inc5shop.com/,India,high,informational,blog,https://inc5shop.com/blog,5400,HIGH 98,Google Ads Keyword Planner via Composio,GKP volume 5400; competition HIGH 98
rainy shoes for women,ranked_india,9.67,positions_4_10,0,6,0.0,https://inc5shop.com/,India,high,informational,blog,https://inc5shop.com/blog,5400,HIGH 98,Google Ads Keyword Planner via Composio,GKP volume 5400; competition HIGH 98
shoe sale,not_seen_last_28_days,,not_seen_last_28_days,,,,,,high,informational,blog,https://inc5shop.com/blog,5400,HIGH 100,Google Ads Keyword Planner via Composio,GKP volume 5400; competition HIGH 100
studded shoes,not_seen_last_28_days,,not_seen_last_28_days,,,,,,high,informational,blog,https://inc5shop.com/blog,5400,HIGH 94,Google Ads Keyword Planner via Composio,GKP volume 5400; competition HIGH 94
stylish shoes,not_seen_last_28_days,,not_seen_last_28_days,,,,,,high,informational,blog,https://inc5shop.com/blog,5400,HIGH 95,Google Ads Keyword Planner via Composio,GKP volume 5400; competition HIGH 95
casual flats for women,ranked_india,4.98,positions_4_10,10,3251,0.0031,https://inc5shop.com/collections/womens-flats,India,high,informational,blog,https://inc5shop.com/blog,4400,HIGH 98,Google Search Console via Composio + Google Ads Keyword Planner via Composio,GKP volume 4400; competition HIGH 98; GSC 151 clicks and 46887 impressions; observed page https://inc5shop.com/collections/womens-flats
branded sandals for women,ranked_india,3.76,positions_4_10,28,1591,0.0176,https://inc5shop.com/collections/womens-sandals,India,high,informational,blog,https://inc5shop.com/blog,4400,HIGH 100,Google Search Console via Composio + Google Ads Keyword Planner via Composio,GKP volume 4400; competition HIGH 100; GSC 254 clicks and 23100 impressions; observed page https://inc5shop.com/collections/womens-sandals
branded heels,ranked_india,12.11,positions_11_20,0,19,0.0,https://inc5shop.com/,India,high,informational,blog,https://inc5shop.com/blog,4400,HIGH 94,Google Ads Keyword Planner via Composio,GKP volume 4400; competition HIGH 94
casual footwear for women,ranked_non_india,9.33,positions_4_10,0,3,0.0,https://inc5shop.com/collections/women-footwear,Philippines,high,informational,blog,https://inc5shop.com/blog,4400,HIGH 98,Google Ads Keyword Planner via Composio,GKP volume 4400; competition HIGH 98
comfort shoes,ranked_india,9.88,positions_4_10,0,52,0.0,https://inc5shop.com/collections/comfort-wear,India,high,informational,blog,https://inc5shop.com/blog,4400,HIGH 99,Google Ads Keyword Planner via Composio,GKP volume 4400; competition HIGH 99
expensive heels,ranked_india,49.0,positions_21_50,0,1,0.0,https://inc5shop.com/,India,high,informational,blog,https://inc5shop.com/blog,4400,HIGH 87,Google Ads Keyword Planner via Composio,GKP volume 4400; competition HIGH 87
heels 3 inch,ranked_india,8.87,positions_4_10,0,69,0.0,https://inc5shop.com/collections/womens-heels,India,high,informational,blog,https://inc5shop.com/blog,4400,HIGH 92,Google Ads Keyword Planner via Composio,GKP volume 4400; competition HIGH 92
heels beige,ranked_india,4.89,positions_4_10,1,132,0.0076,https://inc5shop.com/collections/beige,India,high,informational,blog,https://inc5shop.com/blog,4400,HIGH 100,Google Ads Keyword Planner via Composio,GKP volume 4400; competition HIGH 100
heels wedding,not_seen_last_28_days,,not_seen_last_28_days,,,,,,high,informational,blog,https://inc5shop.com/blog,4400,HIGH 100,Google Ads Keyword Planner via Composio,GKP volume 4400; competition HIGH 100
high heel sandals for women,ranked_india,8.38,positions_4_10,0,211,0.0,https://inc5shop.com/collections/womens-heels,India,high,informational,blog,https://inc5shop.com/blog,4400,HIGH 96,Google Ads Keyword Planner via Composio,GKP volume 4400; competition HIGH 96
jute shoes,not_seen_last_28_days,,not_seen_last_28_days,,,,,,high,informational,blog,https://inc5shop.com/blog,4400,HIGH 98,Google Ads Keyword Planner via Composio,GKP volume 4400; competition HIGH 98
leather shoes for women,not_seen_last_28_days,,not_seen_last_28_days,,,,,,high,informational,blog,https://inc5shop.com/blog,4400,HIGH 100,Google Ads Keyword Planner via Composio,GKP volume 4400; competition HIGH 100
shoes flat,ranked_india,7.81,positions_4_10,1,106,0.0094,https://inc5shop.com/collections/womens-flats,India,high,informational,blog,https://inc5shop.com/blog,4400,HIGH 96,Google Ads Keyword Planner via Composio,GKP volume 4400; competition HIGH 96
slippers with heels,not_seen_last_28_days,,not_seen_last_28_days,,,,,,high,informational,blog,https://inc5shop.com/blog,4400,HIGH 99,Google Ads Keyword Planner via Composio,GKP volume 4400; competition HIGH 99
stylish shoes for women,ranked_india,2.0,top_3,0,1,0.0,https://inc5shop.com/collections/womens-mules,India,high,informational,blog,https://inc5shop.com/blog,4400,HIGH 97,Google Ads Keyword Planner via Composio,GKP volume 4400; competition HIGH 97
stylish women's shoes,not_seen_last_28_days,,not_seen_last_28_days,,,,,,high,informational,blog,https://inc5shop.com/blog,4400,HIGH 97,Google Ads Keyword Planner via Composio,GKP volume 4400; competition HIGH 97
ethnic footwear for women,ranked_india,8.8,positions_4_10,24,1791,0.0134,https://inc5shop.com/collections/ethnic-footwear,India,high,informational,blog,https://inc5shop.com/blog,3600,HIGH 100,Google Search Console via Composio + Google Ads Keyword Planner via Composio,GKP volume 3600; competition HIGH 100; GSC 442 clicks and 32702 impressions; observed page https://inc5shop.com/collections/ethnic-footwear
