keyword,intent,page_type,target_url,volume,difficulty,priority,source,status,notes
ai content creator tools,commercial,product,https://www.strique.io/product,1600,LOW 10,high,Google Ads Keyword Planner via Composio,new,GKP volume 1600; competition LOW 10
ai content generation,commercial,product,https://www.strique.io/product,1600,MEDIUM 59,high,Google Ads Keyword Planner via Composio,new,GKP volume 1600; competition MEDIUM 59
ai marketing agent,commercial,product,https://www.strique.io/product,1600,LOW 29,high,Google Ads Keyword Planner via Composio,new,GKP volume 1600; competition LOW 29
ai marketing platform,commercial,homepage,https://www.strique.io,1300,LOW 4,high,Google Ads Keyword Planner via Composio,new,GKP volume 1300; competition LOW 4
artificial intelligence marketing platform,commercial,homepage,https://www.strique.io,1300,LOW 4,high,Google Ads Keyword Planner via Composio,new,GKP volume 1300; competition LOW 4
ai generated advertising,commercial,product,https://www.strique.io/product,1000,LOW 9,high,Google Ads Keyword Planner via Composio,new,GKP volume 1000; competition LOW 9
ai powered content creation,commercial,product,https://www.strique.io/product,1000,LOW 4,high,Google Ads Keyword Planner via Composio,new,GKP volume 1000; competition LOW 4
ai ad maker,commercial,product,https://www.strique.io/product,880,MEDIUM 56,high,Google Ads Keyword Planner via Composio,new,GKP volume 880; competition MEDIUM 56
ai ad generator free,commercial,product,https://www.strique.io/product,720,HIGH 67,high,Google Ads Keyword Planner via Composio,new,GKP volume 720; competition HIGH 67
ai in marketing automation,informational,blog,https://www.strique.io/blog/what-is-an-ai-marketing-agent,720,LOW 16,high,Google Ads Keyword Planner via Composio,new,GKP volume 720; competition LOW 16
ai marketing automation,commercial,product,https://www.strique.io/product,720,LOW 11,high,Google Ads Keyword Planner via Composio,new,GKP volume 720; competition LOW 11
marketing automation ai,commercial,product,https://www.strique.io/product,720,LOW 16,high,existing keywords.csv,new,GKP volume 720; competition LOW 16
marketing automation artificial intelligence,commercial,product,https://www.strique.io/product,720,LOW 16,high,Google Ads Keyword Planner via Composio,new,GKP volume 720; competition LOW 16
ai ad creator,commercial,product,https://www.strique.io/product,590,MEDIUM 66,high,Google Ads Keyword Planner via Composio,new,GKP volume 590; competition MEDIUM 66
ai ads creator,commercial,product,https://www.strique.io/product,590,MEDIUM 66,high,Google Ads Keyword Planner via Composio,new,GKP volume 590; competition MEDIUM 66
content automation platform,commercial,product,https://www.strique.io/product,590,LOW 2,high,Google Ads Keyword Planner via Composio,new,GKP volume 590; competition LOW 2
content automation platforms,commercial,product,https://www.strique.io/product,590,LOW 2,high,Google Ads Keyword Planner via Composio,new,GKP volume 590; competition LOW 2
ai ads generator,commercial,product,https://www.strique.io/product,480,HIGH 71,high,Google Ads Keyword Planner via Composio,new,GKP volume 480; competition HIGH 71
ai marketing automation tools,commercial,product,https://www.strique.io/product,480,LOW 6,high,Google Ads Keyword Planner via Composio,new,GKP volume 480; competition LOW 6
best ai marketing tools,commercial,comparison,https://www.strique.io/vs,480,HIGH 68,high,Google Ads Keyword Planner via Composio,new,GKP volume 480; competition HIGH 68
free ai ad generator,commercial,product,https://www.strique.io/product,390,HIGH 74,high,Google Ads Keyword Planner via Composio,new,GKP volume 390; competition HIGH 74
ai marketing software,commercial,product,https://www.strique.io/product,320,LOW 13,high,Google Ads Keyword Planner via Composio,new,GKP volume 320; competition LOW 13
ecommerce marketing automation,commercial,solutions,https://www.strique.io/solutions/ecommerce,320,LOW 3,high,Google Ads Keyword Planner via Composio,new,GKP volume 320; competition LOW 3
content marketing automation,commercial,product,https://www.strique.io/product,210,LOW 3,high,Google Ads Keyword Planner via Composio,new,GKP volume 210; competition LOW 3
marketing automation content marketing,commercial,product,https://www.strique.io/product,210,LOW 3,high,Google Ads Keyword Planner via Composio,new,GKP volume 210; competition LOW 3
ai powered marketing automation,commercial,product,https://www.strique.io/product,170,LOW 3,high,Google Ads Keyword Planner via Composio,new,GKP volume 170; competition LOW 3
free ai marketing tools,commercial,product,https://www.strique.io/product,140,HIGH 86,high,Google Ads Keyword Planner via Composio,new,GKP volume 140; competition HIGH 86
shopify marketing automation,commercial,solutions,https://www.strique.io/solutions/ecommerce,140,LOW 6,high,Google Ads Keyword Planner via Composio,new,GKP volume 140; competition LOW 6
ai ad creation,commercial,product,https://www.strique.io/product,110,HIGH 76,high,Google Ads Keyword Planner via Composio,new,GKP volume 110; competition HIGH 76
ai for marketing automation,commercial,product,https://www.strique.io/product,110,LOW 7,high,Google Ads Keyword Planner via Composio,new,GKP volume 110; competition LOW 7
ai ad creator free,commercial,product,https://www.strique.io/product,90,HIGH 71,high,Google Ads Keyword Planner via Composio,new,GKP volume 90; competition HIGH 71
ai driven marketing automation,commercial,product,https://www.strique.io/product,90,LOW 5,high,Google Ads Keyword Planner via Composio,new,GKP volume 90; competition LOW 5
ecommerce marketing automation platform,commercial,solutions,https://www.strique.io/solutions/ecommerce,90,LOW 2,high,Google Ads Keyword Planner via Composio,new,GKP volume 90; competition LOW 2
agentic ai marketing,commercial,product,https://www.strique.io/product,70,MEDIUM 37,high,Google Ads Keyword Planner via Composio,new,GKP volume 70; competition MEDIUM 37
ai ad creative generator,commercial,product,https://www.strique.io/product,70,MEDIUM 60,high,Google Ads Keyword Planner via Composio,new,GKP volume 70; competition MEDIUM 60
ai marketing analytics,commercial,product,https://www.strique.io/product,70,LOW 8,high,Google Ads Keyword Planner via Composio,new,GKP volume 70; competition LOW 8
ai marketing tools free,commercial,product,https://www.strique.io/product,70,MEDIUM 46,high,Google Ads Keyword Planner via Composio,new,GKP volume 70; competition MEDIUM 46
content marketing automation tools,commercial,product,https://www.strique.io/product,70,LOW 1,high,Google Ads Keyword Planner via Composio,new,GKP volume 70; competition LOW 1
free ai ad creator,commercial,product,https://www.strique.io/product,70,HIGH 77,high,Google Ads Keyword Planner via Composio,new,GKP volume 70; competition HIGH 77
machine learning marketing automation,commercial,product,https://www.strique.io/product,70,LOW,high,Google Ads Keyword Planner via Composio,new,GKP volume 70; competition LOW
top ai marketing tools,commercial,comparison,https://www.strique.io/vs,70,MEDIUM 39,high,Google Ads Keyword Planner via Composio,new,GKP volume 70; competition MEDIUM 39
ecommerce marketing automation software,commercial,solutions,https://www.strique.io/solutions/ecommerce,50,LOW,high,Google Ads Keyword Planner via Composio,new,GKP volume 50; competition LOW
marketing automation reporting,commercial,product,https://www.strique.io/product,50,LOW 2,high,Google Ads Keyword Planner via Composio,new,GKP volume 50; competition LOW 2
ai ad optimization,commercial,product,https://www.strique.io/product,40,MEDIUM 37,high,Google Ads Keyword Planner via Composio,new,GKP volume 40; competition MEDIUM 37
content marketing automation software,commercial,product,https://www.strique.io/product,40,LOW 2,high,Google Ads Keyword Planner via Composio,new,GKP volume 40; competition LOW 2
marketing automation and ai,commercial,product,https://www.strique.io/product,40,LOW 1,high,Google Ads Keyword Planner via Composio,new,GKP volume 40; competition LOW 1
marketing automation using ai,commercial,product,https://www.strique.io/product,40,LOW 6,high,Google Ads Keyword Planner via Composio,new,GKP volume 40; competition LOW 6
strique,navigational,homepage,https://www.strique.io,40,LOW 6,high,Google Ads Keyword Planner via Composio,new,GKP volume 40; competition LOW 6
top ai marketing platforms,commercial,comparison,https://www.strique.io/vs,40,LOW 4,high,Google Ads Keyword Planner via Composio,new,GKP volume 40; competition LOW 4
ai and marketing automation,commercial,product,https://www.strique.io/product,30,LOW 15,high,Google Ads Keyword Planner via Composio,new,GKP volume 30; competition LOW 15
ai based marketing automation,commercial,product,https://www.strique.io/product,30,LOW,high,Google Ads Keyword Planner via Composio,new,GKP volume 30; competition LOW
ai marketing startup,commercial,product,https://www.strique.io/product,30,LOW 56,high,Google Ads Keyword Planner via Composio,new,GKP volume 30; competition LOW 56
best ai marketing software,commercial,comparison,https://www.strique.io/vs,30,MEDIUM 41,high,Google Ads Keyword Planner via Composio,new,GKP volume 30; competition MEDIUM 41
content marketing automation platform,commercial,product,https://www.strique.io/product,30,LOW,high,Google Ads Keyword Planner via Composio,new,GKP volume 30; competition LOW
ecommerce email marketing automation,commercial,solutions,https://www.strique.io/solutions/ecommerce,30,LOW 10,high,Google Ads Keyword Planner via Composio,new,GKP volume 30; competition LOW 10
growth marketing automation,commercial,product,https://www.strique.io/product,30,LOW,high,Google Ads Keyword Planner via Composio,new,GKP volume 30; competition LOW
marketing automation tools for ecommerce,commercial,solutions,https://www.strique.io/solutions/ecommerce,30,LOW,high,Google Ads Keyword Planner via Composio,new,GKP volume 30; competition LOW
best marketing automation for ecommerce,commercial,comparison,https://www.strique.io/solutions/ecommerce,20,LOW 0,high,Google Ads Keyword Planner via Composio,new,GKP volume 20; competition LOW 0
email marketing automation for ecommerce,commercial,solutions,https://www.strique.io/solutions/ecommerce,20,LOW 16,high,Google Ads Keyword Planner via Composio,new,GKP volume 20; competition LOW 16
adwords marketing automation,commercial,integration,https://www.strique.io/integrations/google-ads,10,,high,Google Ads Keyword Planner via Composio,new,GKP volume 10
ai ad copy generator free,commercial,product,https://www.strique.io/product,10,LOW,high,Google Ads Keyword Planner via Composio,new,GKP volume 10; competition LOW
ai marketing os,commercial,product,https://www.strique.io/product,10,HIGH 75,high,Google Ads Keyword Planner via Composio,new,GKP volume 10; competition HIGH 75
best content marketing automation tools,commercial,comparison,https://www.strique.io/vs,10,LOW,high,Google Ads Keyword Planner via Composio,new,GKP volume 10; competition LOW
best ecommerce marketing automation software,commercial,comparison,https://www.strique.io/vs,10,,high,Google Ads Keyword Planner via Composio,new,GKP volume 10
best ecommerce marketing automation tools,commercial,comparison,https://www.strique.io/vs,10,,high,Google Ads Keyword Planner via Composio,new,GKP volume 10
content marketing marketing automation,commercial,product,https://www.strique.io/product,10,LOW,high,Google Ads Keyword Planner via Composio,new,GKP volume 10; competition LOW
customer lifecycle marketing automation,commercial,product,https://www.strique.io/product,10,LOW,high,Google Ads Keyword Planner via Composio,new,GKP volume 10; competition LOW
d2c marketing automation,commercial,solutions,https://www.strique.io/solutions/ecommerce,10,MEDIUM 62,high,Google Ads Keyword Planner via Composio,new,GKP volume 10; competition MEDIUM 62
dtc marketing automation,commercial,solutions,https://www.strique.io/solutions/ecommerce,10,LOW,high,Google Ads Keyword Planner via Composio,new,GKP volume 10; competition LOW
ecommerce marketing automation tools,commercial,solutions,https://www.strique.io/solutions/ecommerce,10,LOW,high,Google Ads Keyword Planner via Composio,new,GKP volume 10; competition LOW
free ai ad copy generator,commercial,product,https://www.strique.io/product,10,MEDIUM 36,high,Google Ads Keyword Planner via Composio,new,GKP volume 10; competition MEDIUM 36
intelligent marketing automation,commercial,product,https://www.strique.io/product,10,LOW 17,high,Google Ads Keyword Planner via Composio,new,GKP volume 10; competition LOW 17
lifecycle marketing automation,commercial,product,https://www.strique.io/product,10,LOW,high,Google Ads Keyword Planner via Composio,new,GKP volume 10; competition LOW
machine learning and marketing automation,commercial,product,https://www.strique.io/product,10,LOW,high,Google Ads Keyword Planner via Composio,new,GKP volume 10; competition LOW
marketing automation content strategy,commercial,product,https://www.strique.io/product,10,LOW,high,Google Ads Keyword Planner via Composio,new,GKP volume 10; competition LOW
marketing automation for growth teams,commercial,product,https://www.strique.io/product,10,,high,Google Ads Keyword Planner via Composio,new,GKP volume 10
marketing automation google ads,commercial,integration,https://www.strique.io/integrations/google-ads,10,,high,Google Ads Keyword Planner via Composio,new,GKP volume 10
marketing automation growth,commercial,product,https://www.strique.io/product,10,,high,Google Ads Keyword Planner via Composio,new,GKP volume 10
strique ai,navigational,homepage,https://www.strique.io,10,MEDIUM 43,high,Google Ads Keyword Planner via Composio,new,GKP volume 10; competition MEDIUM 43
strique io,navigational,homepage,https://www.strique.io,10,LOW 14,high,Google Ads Keyword Planner via Composio,new,GKP volume 10; competition LOW 14
agentic ai marketing platform,commercial,product,https://www.strique.io/product,,,high,Google Ads Keyword Planner via Composio,new,Seeded from normalized keyword research evidence
marketing agent platform,commercial,product,https://www.strique.io/product,,,high,Google Ads Keyword Planner via Composio,new,Seeded from normalized keyword research evidence
ai powered content generation,commercial,product,https://www.strique.io/product,480,LOW 16,medium,Google Ads Keyword Planner via Composio,new,GKP volume 480; competition LOW 16
best ai tools for marketing,commercial,comparison,https://www.strique.io/vs,480,MEDIUM 52,medium,Google Ads Keyword Planner via Composio,new,GKP volume 480; competition MEDIUM 52
ai content generation tools,commercial,product,https://www.strique.io/product,390,LOW 10,medium,Google Ads Keyword Planner via Composio,new,GKP volume 390; competition LOW 10
automated seo platform,commercial,product,https://www.strique.io/product,390,LOW 1,medium,Google Ads Keyword Planner via Composio,new,GKP volume 390; competition LOW 1
seo automation platform,commercial,product,https://www.strique.io/product,390,LOW 1,medium,Google Ads Keyword Planner via Composio,new,GKP volume 390; competition LOW 1
artificial intelligence marketing software,commercial,product,https://www.strique.io/product,320,LOW 13,medium,Google Ads Keyword Planner via Composio,new,GKP volume 320; competition LOW 13
automated content creation,commercial,product,https://www.strique.io/product,320,LOW 19,medium,Google Ads Keyword Planner via Composio,new,GKP volume 320; competition LOW 19
automating content creation,commercial,product,https://www.strique.io/product,320,LOW 19,medium,existing keywords.csv,new,GKP volume 320; competition LOW 19
content creation ai,commercial,product,https://www.strique.io/product,320,HIGH 69,medium,Google Ads Keyword Planner via Composio,new,GKP volume 320; competition HIGH 69
free ai tool for content creation,commercial,product,https://www.strique.io/product,320,MEDIUM 53,medium,Google Ads Keyword Planner via Composio,new,GKP volume 320; competition MEDIUM 53
free ai tools for content creation,commercial,product,https://www.strique.io/product,320,MEDIUM 53,medium,Google Ads Keyword Planner via Composio,new,GKP volume 320; competition MEDIUM 53
ai content creation software,commercial,product,https://www.strique.io/product,260,LOW 3,medium,Google Ads Keyword Planner via Composio,new,GKP volume 260; competition LOW 3
ai seo content generator,commercial,product,https://www.strique.io/product,260,LOW 12,medium,Google Ads Keyword Planner via Composio,new,GKP volume 260; competition LOW 12
best ai tools for content creation,commercial,comparison,https://www.strique.io/vs,260,MEDIUM 49,medium,Google Ads Keyword Planner via Composio,new,GKP volume 260; competition MEDIUM 49
content automation,commercial,product,https://www.strique.io/product,260,LOW 19,medium,Google Ads Keyword Planner via Composio,new,GKP volume 260; competition LOW 19
seo for auto,commercial,product,https://www.strique.io/product,260,LOW 3,medium,Google Ads Keyword Planner via Composio,new,GKP volume 260; competition LOW 3
ad maker ai,commercial,product,https://www.strique.io/product,210,HIGH 67,medium,Google Ads Keyword Planner via Composio,new,GKP volume 210; competition HIGH 67
ai advertising platform,commercial,product,https://www.strique.io/product,210,HIGH 82,medium,Google Ads Keyword Planner via Composio,new,GKP volume 210; competition HIGH 82
ai content marketing tools,commercial,product,https://www.strique.io/product,210,LOW 2,medium,existing keywords.csv,new,GKP volume 210; competition LOW 2
content generation ai,commercial,product,https://www.strique.io/product,210,LOW 1,medium,Google Ads Keyword Planner via Composio,new,GKP volume 210; competition LOW 1
create ads with ai,commercial,product,https://www.strique.io/product,210,MEDIUM 64,medium,Google Ads Keyword Planner via Composio,new,GKP volume 210; competition MEDIUM 64
free ai tools for marketing,commercial,product,https://www.strique.io/product,210,MEDIUM 46,medium,Google Ads Keyword Planner via Composio,new,GKP volume 210; competition MEDIUM 46
sales automation ai,commercial,product,https://www.strique.io/product,210,LOW 14,medium,Google Ads Keyword Planner via Composio,new,GKP volume 210; competition LOW 14
ad generator ai,commercial,product,https://www.strique.io/product,170,MEDIUM 48,medium,Google Ads Keyword Planner via Composio,new,GKP volume 170; competition MEDIUM 48
advertising integration,informational,blog,https://www.strique.io/blog,170,LOW 12,medium,existing keywords.csv,new,GKP volume 170; competition LOW 12
ai driven content creation,commercial,product,https://www.strique.io/product,170,LOW 27,medium,Google Ads Keyword Planner via Composio,new,GKP volume 170; competition LOW 27
automated seo monitoring,commercial,product,https://www.strique.io/product,170,LOW,medium,Google Ads Keyword Planner via Composio,new,GKP volume 170; competition LOW
ecommerce automation software,commercial,solutions,https://www.strique.io/solutions/ecommerce,170,LOW 3,medium,existing keywords.csv,new,GKP volume 170; competition LOW 3
free ai for content creation,commercial,product,https://www.strique.io/product,170,HIGH 69,medium,Google Ads Keyword Planner via Composio,new,GKP volume 170; competition HIGH 69
ad creator ai,commercial,product,https://www.strique.io/product,140,HIGH 75,medium,Google Ads Keyword Planner via Composio,new,GKP volume 140; competition HIGH 75
ai email automation,commercial,product,https://www.strique.io/product,140,LOW 32,medium,Google Ads Keyword Planner via Composio,new,GKP volume 140; competition LOW 32
ai video ad creator,commercial,product,https://www.strique.io/product,140,MEDIUM 46,medium,Google Ads Keyword Planner via Composio,new,GKP volume 140; competition MEDIUM 46
automated content generation,commercial,product,https://www.strique.io/product,140,LOW 10,medium,Google Ads Keyword Planner via Composio,new,GKP volume 140; competition LOW 10
automatic content creator,commercial,product,https://www.strique.io/product,140,LOW 10,medium,Google Ads Keyword Planner via Composio,new,GKP volume 140; competition LOW 10
best marketing ai tools,commercial,comparison,https://www.strique.io/vs,140,MEDIUM 50,medium,Google Ads Keyword Planner via Composio,new,GKP volume 140; competition MEDIUM 50
content generation tool,commercial,product,https://www.strique.io/product,140,MEDIUM 37,medium,Google Ads Keyword Planner via Composio,new,GKP volume 140; competition MEDIUM 37
marketing automations shopify,commercial,solutions,https://www.strique.io/solutions/ecommerce,140,LOW 6,medium,Google Ads Keyword Planner via Composio,new,GKP volume 140; competition LOW 6
shopify marketing automations,commercial,solutions,https://www.strique.io/solutions/ecommerce,140,LOW 6,medium,Google Ads Keyword Planner via Composio,new,GKP volume 140; competition LOW 6
top ai tools for marketing,commercial,comparison,https://www.strique.io/vs,140,LOW 22,medium,Google Ads Keyword Planner via Composio,new,GKP volume 140; competition LOW 22
ai in content creation,commercial,product,https://www.strique.io/product,110,LOW 19,medium,Google Ads Keyword Planner via Composio,new,GKP volume 110; competition LOW 19
ai digital marketing tools,commercial,product,https://www.strique.io/product,90,LOW 14,medium,existing keywords.csv,new,GKP volume 90; competition LOW 14
ai in content marketing,commercial,product,https://www.strique.io/product,90,LOW 8,medium,Google Ads Keyword Planner via Composio,new,GKP volume 90; competition LOW 8
ai video ads generator,commercial,product,https://www.strique.io/product,90,MEDIUM 65,medium,Google Ads Keyword Planner via Composio,new,GKP volume 90; competition MEDIUM 65
best ai tool for digital marketing,commercial,comparison,https://www.strique.io/vs,90,LOW 32,medium,Google Ads Keyword Planner via Composio,new,GKP volume 90; competition LOW 32
best ai tools for digital marketing,commercial,comparison,https://www.strique.io/vs,90,LOW 32,medium,Google Ads Keyword Planner via Composio,new,GKP volume 90; competition LOW 32
content automation tools,commercial,product,https://www.strique.io/product,90,LOW 13,medium,Google Ads Keyword Planner via Composio,new,GKP volume 90; competition LOW 13
content creation ai tools,commercial,product,https://www.strique.io/product,90,MEDIUM 47,medium,Google Ads Keyword Planner via Composio,new,GKP volume 90; competition MEDIUM 47
ai creating content,commercial,product,https://www.strique.io/product,70,LOW 20,medium,Google Ads Keyword Planner via Composio,new,GKP volume 70; competition LOW 20
automated marketing reports,commercial,product,https://www.strique.io/product,70,LOW 24,medium,Google Ads Keyword Planner via Composio,new,GKP volume 70; competition LOW 24
create content with ai,commercial,product,https://www.strique.io/product,70,MEDIUM 56,medium,Google Ads Keyword Planner via Composio,new,GKP volume 70; competition MEDIUM 56
creating content with ai,commercial,product,https://www.strique.io/product,70,MEDIUM 56,medium,Google Ads Keyword Planner via Composio,new,GKP volume 70; competition MEDIUM 56
marketing ai platform,commercial,product,https://www.strique.io/product,70,LOW 33,medium,Google Ads Keyword Planner via Composio,new,GKP volume 70; competition LOW 33
social media marketing ai,commercial,product,https://www.strique.io/product,70,HIGH 71,medium,Google Ads Keyword Planner via Composio,new,GKP volume 70; competition HIGH 71
ai create ads,commercial,product,https://www.strique.io/product,50,MEDIUM 42,medium,Google Ads Keyword Planner via Composio,new,GKP volume 50; competition MEDIUM 42
